	z_coordinate_0	z_coordinate_1
0	6.825938	-0.06741021
1	3.3800278	0.58802944
2	-7.5421224	9.088421
3	2.4342234	-3.895302
4	-9.697316	-0.10346324
5	1.3877298	3.9996471
6	11.841473	1.527337
7	-2.0942922	3.880173
8	-7.030844	9.332766
9	-7.094506	8.529476
10	-7.2425737	9.173952
11	-1.9532874	4.1024485
12	18.117846	-5.39471
13	2.166991	-2.9448047
14	1.3804157	-2.6852226
15	-9.133166	0.20073166
16	2.1445	-2.8359804
17	-6.733064	8.99861
18	2.2408636	-3.0467825
19	4.0306187	3.8627543
20	1.4291326	-2.7148263
21	1.5299196	-1.9518033
22	-6.2853703	-11.745454
23	-7.073147	0.05776521
24	-6.6234	-2.795231
25	11.870032	1.5163331
26	-6.2033687	-11.459061
27	-7.022238	8.880714
28	-5.184083	-11.844456
29	-9.266595	-0.354934
30	1.1796396	-2.3743706
31	1.0432718	-3.0855973
32	0.4946915	-3.2030492
33	-6.4475408	8.458263
34	-3.7180114	1.894161
35	1.3648865	12.305693
36	2.3302054	-2.9884093
37	-9.594841	0.21630114
38	1.7752981	-0.20099464
39	2.2540078	-2.444666
40	-7.2533226	9.443688
41	1.6419089	-2.9273105
42	7.0821958	11.40918
43	1.056333	-2.9814281
44	7.230997	11.6133995
45	0.9704534	-3.1051517
46	1.8874159	-2.9982283
47	-9.337495	-0.3498654
48	-9.40412	-1.0857421
49	3.3594294	-2.835599
50	0.6057758	-1.9603434
51	3.8346696	4.0061684
52	2.473242	-3.7397928
53	11.024003	0.7486072
54	0.873284	-2.7195187
55	1.9489359	-3.025632
56	7.691356	4.8913054
57	2.0926366	-3.1125722
58	1.5795262	-2.4326248
59	9.954143	1.8499686
60	-6.4988275	9.19088
61	-9.08256	0.10200309
62	3.71029	3.6536598
63	6.729024	10.86208
64	1.7424327	7.246926
65	2.551469	12.615129
66	1.6954644	-2.2901616
67	1.5928614	-2.8864741
68	11.268577	7.8114285
69	3.99379	3.7994487
70	-7.4341483	-3.7595387
71	1.6222266	-2.8308127
72	1.6523193	-2.8489542
73	-2.7814655	2.2516649
74	-5.629938	7.396485
75	-5.9412503	-11.469716
76	-5.4860945	-11.421813
77	2.1411934	-2.3947487
78	1.8471701	-2.9721231
79	0.95359683	-2.0865586
80	1.6756436	-2.481224
81	2.4692688	-2.683036
82	-6.722875	-11.499952
83	-5.042957	-9.232237
84	0.9503945	-2.4327815
85	2.0573075	-2.26031
86	-6.3371983	-11.097532
87	-7.496114	-3.9223068
88	0.29199034	-3.9310522
89	1.27741	-2.2606175
90	1.4775001	-3.0671875
91	-9.500394	-0.17953768
92	0.68146694	-3.3844936
93	1.8630862	6.9344516
94	3.6553118	-3.4412425
95	0.9231181	-2.293894
96	-6.0781713	-11.047172
97	1.6637719	-2.4239397
98	12.471984	-8.089964
99	1.6206005	-2.2653794
100	-6.4380064	9.115828
101	1.9749639	-3.060794
102	-10.297149	0.45031917
103	0.76391995	-2.9408264
104	-8.310391	-0.6258734
105	11.179424	8.607101
106	0.8404273	-2.3738556
107	-9.169442	-0.82314897
108	2.5233288	-2.3637362
109	-6.8878813	8.723085
110	0.44885343	-2.6567955
111	1.9046553	-2.9096012
112	-6.093982	-11.412467
113	-6.8671074	9.042087
114	-0.05859831	11.2530365
115	2.0144663	-2.7394307
116	4.0106196	-2.951879
117	0.29437926	-1.9158636
118	12.200334	8.151935
119	-7.153128	8.924883
120	0.6390277	-2.3144517
121	0.29202634	10.901018
122	-2.219047	4.0677295
123	5.1373353	3.34945
124	0.72300386	-2.1031554
125	0.2039679	-2.0348473
126	2.3502085	5.800184
127	-5.1368217	-8.089308
128	11.21074	2.308532
129	-6.074507	7.990146
130	-6.072517	-11.685085
131	1.9980139	-2.7099023
132	-4.8437414	-11.898037
133	-3.02278	6.91354
134	-9.394946	-0.27491006
135	3.852979	2.4395168
136	-7.1005445	7.1901035
137	0.23922461	-2.3013916
138	-1.8189898	4.280038
139	1.5960481	1.2720106
140	11.197085	7.8658195
141	6.0157666	3.6881416
142	6.1542187	-4.105329
143	10.847056	0.7754451
144	3.3076663	-3.1046495
145	11.053435	8.534783
146	0.04831764	11.418537
147	-6.535088	-11.809357
148	-0.9684409	10.883457
149	6.900029	10.502987
150	3.9396021	4.0189967
151	-0.4777026	-2.4109888
152	0.28519776	-2.1860678
153	-9.533888	-0.01381395
154	6.6543403	-1.5283246
155	1.9396247	-2.3211784
156	2.3720431	-2.5343523
157	0.8540938	-1.9075682
158	-9.3751745	-0.07112507
159	-6.37448	-11.627897
160	1.2010977	-2.7242928
161	-6.5080566	8.874283
162	-1.7224355	-2.6471481
163	-6.227659	8.9014635
164	-9.349156	-0.64594734
165	-1.7003187	-13.931174
166	11.857385	8.844753
167	-5.3196063	-11.460811
168	1.8734022	-2.1593723
169	-9.654525	-0.62265944
170	3.9168262	4.0744085
171	1.8084464	-2.4280448
172	1.9987987	-2.444635
173	-0.13872829	-2.099313
