	log_likelihood
0	186.37381
1	308.392
2	299.112
3	339.5791
4	308.92242
5	308.1775
6	289.89566
7	318.08514
8	297.28177
9	305.55908
10	305.7302
11	295.36298
12	127.999146
13	338.8504
14	330.29608
15	304.73138
16	322.76605
17	314.21912
18	332.71994
19	312.99875
20	338.61563
21	312.1081
22	209.68326
23	312.4275
24	302.53018
25	269.7669
26	243.37578
27	304.1978
28	246.72592
29	302.85303
30	338.13416
31	335.58234
32	331.05087
33	306.7273
34	301.97968
35	280.1076
36	341.15262
37	278.43805
38	325.27716
39	323.7542
40	307.8211
41	315.27826
42	268.0201
43	324.71112
44	241.38672
45	336.91043
46	344.03406
47	296.60855
48	290.65622
49	316.74326
50	329.80063
51	313.56845
52	338.859
53	301.5855
54	322.72174
55	328.26047
56	282.92096
57	313.36066
58	323.87335
59	292.5274
60	300.12827
61	305.03802
62	293.6174
63	275.08157
64	226.57657
65	279.84488
66	313.08673
67	331.97614
68	292.75854
69	307.37408
70	272.02713
71	299.44928
72	334.32355
73	320.59457
74	308.0573
75	253.2353
76	222.50058
77	305.27728
78	329.95477
79	311.72946
80	312.94962
81	329.1149
82	235.92404
83	279.1205
84	317.54446
85	319.60315
86	228.74678
87	247.96976
88	323.83954
89	333.22516
90	334.5126
91	316.6054
92	321.04114
93	228.73373
94	287.7556
95	327.73325
96	238.74585
97	326.9256
98	264.29422
99	316.89636
100	305.12128
101	320.47778
102	275.4792
103	326.29166
104	315.63553
105	289.54297
106	300.14502
107	305.227
108	308.2203
109	303.13348
110	336.50897
111	329.2658
112	254.59782
113	290.00787
114	270.45477
115	326.61606
116	313.07602
117	298.02496
118	252.58354
119	305.9837
120	336.29788
121	273.98636
122	285.6281
123	225.24849
124	308.9257
125	317.7801
126	272.36676
127	238.34477
128	281.41028
129	307.00058
130	235.60735
131	326.4929
132	225.49185
133	296.02313
134	309.1433
135	297.40942
136	308.37378
137	335.37982
138	303.63513
139	300.48444
140	277.06888
141	296.39618
142	291.08112
143	294.3063
144	315.49185
145	290.3077
146	287.93057
147	205.89871
148	252.2574
149	301.01984
150	310.32867
151	313.01337
152	319.12335
153	300.01416
154	294.57974
155	313.12866
156	326.58203
157	325.69418
158	284.80856
159	210.71896
160	321.46588
161	301.51947
162	299.3443
163	302.31644
164	304.42505
165	168.04456
166	268.80414
167	226.52075
168	313.11954
169	285.9018
170	295.9877
171	329.16653
172	328.2815
173	317.76413
174	333.13342
175	227.36552
176	332.44098
177	216.80229
178	288.88446
179	180.96286
180	233.17325
181	220.86282
182	300.20972
183	324.39078
184	262.06464
185	275.29047
186	315.1477
187	305.76016
188	293.04175
189	260.09543
190	287.78094
191	302.1773
192	301.16782
193	302.9676
194	245.8677
195	309.22482
196	164.13797
197	306.61688
198	306.7763
199	339.3985
200	279.15558
201	304.91315
202	305.7334
203	316.0844
204	292.94745
205	298.65924
206	294.41064
207	237.29045
208	279.706
209	227.82658
210	300.68286
211	295.7474
212	290.23135
213	312.48285
214	98.371506
215	315.56348
216	120.46364
217	306.08612
218	268.9707
219	274.0472
220	327.40375
221	335.02322
222	323.52023
223	303.3986
224	313.65726
225	227.31458
226	319.57504
227	305.25555
228	319.26266
229	314.01263
230	318.07758
231	297.40152
232	309.55038
233	176.54512
234	283.27612
235	316.11264
236	302.62762
237	249.90817
238	307.24854
239	259.90836
240	261.30768
241	308.5415
242	329.38068
243	317.48047
244	313.07034
245	275.89728
246	315.46957
247	302.92743
248	305.1072
249	317.78488
250	324.29846
251	329.53308
252	295.51624
253	303.8199
254	314.61966
255	327.25812
256	265.2558
257	234.31091
258	316.9104
259	295.85596
260	338.63495
261	320.45493
262	286.3503
263	326.0434
264	290.6317
265	318.08618
266	277.11176
267	299.37756
268	283.2907
269	229.98013
270	323.21313
271	238.90678
272	318.48077
273	285.1251
274	320.67142
275	282.87485
276	327.1232
277	284.4696
278	274.3205
279	302.06598
280	337.85776
281	296.20767
282	235.43008
283	324.85538
284	272.712
285	311.28165
286	301.31326
287	307.82416
288	315.30988
289	309.30927
290	298.5268
291	179.63542
292	335.97437
293	247.0435
294	333.4277
295	332.5066
296	230.93755
297	301.97504
298	291.81494
299	290.14642
300	307.30118
301	317.95248
302	322.42694
303	327.15747
304	291.02084
305	323.2801
306	157.81023
307	324.7475
308	316.0397
309	273.43146
310	319.75812
311	280.93585
312	328.39145
313	284.9904
314	311.78763
315	260.66583
316	302.85867
317	315.13446
318	311.59213
319	323.4429
320	49.247692
321	296.53632
322	322.8243
323	328.27325
324	296.0711
325	262.39276
326	315.63364
327	310.05634
328	219.88835
329	296.64145
330	246.46933
331	307.7102
332	293.06567
333	329.8426
334	297.98895
335	321.43475
336	336.7027
337	282.09915
338	307.00687
339	314.00858
340	327.6438
341	-31.788147
342	244.86848
343	324.62
344	287.5261
345	317.188
346	323.2527
347	307.034
348	335.51953
349	285.3355
350	303.96936
351	302.71927
352	310.48135
353	312.79184
354	283.2733
355	325.4021
356	277.63507
357	304.88168
358	334.71152
359	233.88799
360	318.95126
361	279.13193
362	281.70358
363	299.31308
364	328.79825
365	256.25757
366	318.17865
367	282.2921
368	251.7864
369	338.79572
370	264.5435
371	320.32065
372	278.56772
373	311.6473
374	277.2338
375	279.05423
376	327.45908
377	305.19696
378	283.9811
379	292.72437
380	289.44025
381	215.56514
382	292.93073
383	301.3928
384	285.94196
385	199.21805
386	185.35146
387	279.0467
388	321.77676
389	291.79855
390	333.75146
391	306.6638
392	343.18625
393	324.33884
394	233.6438
395	306.13922
396	298.6551
397	330.57584
398	290.9223
399	326.1518
400	237.13016
401	273.15005
402	303.6073
403	312.29
404	318.03522
405	285.64523
406	281.77396
407	247.4853
408	314.138
409	226.05212
410	198.43408
411	312.62262
412	316.00858
413	275.94043
414	305.82593
415	312.5941
416	333.2248
417	327.7595
418	320.49228
419	319.78278
420	288.6379
421	277.11862
422	327.45612
423	294.44766
424	213.24158
425	291.97028
426	276.8667
427	297.61417
428	320.25665
429	324.25024
430	314.04443
431	318.28183
432	256.52765
433	271.19528
434	289.18674
435	277.09882
436	333.3374
437	304.45844
438	294.0302
439	334.41788
440	289.87103
441	268.7348
442	312.49692
443	304.70752
444	326.962
445	293.829
446	311.76993
447	133.56674
448	255.50151
449	213.56271
450	318.11642
451	312.3777
452	266.33725
453	329.8885
454	324.43253
455	216.71152
456	326.33624
457	295.87814
458	290.16986
459	268.8617
460	316.48618
461	318.10565
462	295.09158
463	293.29517
464	304.1812
465	305.87762
466	280.9643
467	199.88902
468	235.66293
469	282.88034
470	331.3344
471	310.17242
472	322.25427
473	298.9688
474	323.7294
475	270.30847
476	302.01865
477	344.58466
478	282.87726
479	323.48126
480	319.16794
481	310.78036
482	312.76926
483	310.128
484	278.57782
485	325.8633
486	302.07324
487	308.57516
488	311.96957
489	329.02954
490	311.07523
491	271.8376
492	309.7232
493	310.11172
494	265.76276
495	240.9791
496	283.05197
497	258.86368
498	294.63446
499	282.25006
500	184.77336
501	270.59946
502	313.41833
503	315.66132
504	314.76688
505	320.2492
506	290.7899
507	220.5564
508	315.7209
509	312.97043
510	289.8437
511	292.1417
512	322.64862
513	320.16144
514	317.11017
515	263.15933
516	285.45303
517	322.42114
518	281.07907
519	326.0046
520	246.29907
521	296.72388
522	306.78888
523	317.56674
524	314.0412
525	299.73254
526	297.1858
527	276.96686
528	314.06128
529	312.44666
530	311.079
531	301.29755
532	330.89383
533	280.36795
534	250.65816
535	236.40776
536	333.72614
537	205.06746
538	333.86337
539	312.99274
540	298.23355
541	310.86334
542	317.30035
543	202.4069
544	303.26727
545	218.5582
546	308.88135
547	181.51315
548	324.20648
549	326.0979
550	216.77225
551	280.77994
552	302.72357
553	265.68768
554	287.64212
555	281.01627
556	318.57898
557	305.16306
558	270.23026
559	236.78291
560	295.78973
561	220.42416
562	281.06003
563	321.60107
564	292.617
565	321.86517
566	328.08173
567	330.2956
568	327.4568
569	174.22475
570	302.75677
571	324.43848
572	296.82233
573	285.659
574	275.617
575	316.56686
576	223.11093
577	295.30325
578	290.63553
579	276.65646
580	278.08768
581	265.9277
582	297.1163
583	320.64667
584	307.67624
