	z_coordinate_0	z_coordinate_1
0	-6.7139874	-0.7495355
1	-1.4806516	6.53238
2	-3.8537385	-6.1248183
3	2.7061768	7.6919394
4	-5.6090775	-1.7378035
5	-1.5008397	6.2552185
6	-5.7181697	7.333368
7	-1.5289097	7.172456
8	-0.95469016	6.061333
9	-6.5642395	1.1234905
10	-1.5776572	6.4559045
11	1.6051706	-1.0623091
12	-11.4034	1.139364
13	-4.525691	0.48908696
14	-6.665189	1.0788699
15	-3.8731697	-0.042018287
16	-1.1800696	5.946615
17	-7.507969	1.4512814
18	3.0435936	7.313319
19	1.7356337	0.36211395
20	-1.447422	5.879691
21	0.02303655	-0.3214896
22	1.4935514	0.23130932
23	-7.242572	0.88844633
24	-5.857111	7.3601146
25	-1.7114915	7.1578546
26	-11.65918	0.8551294
27	-6.463067	8.401799
28	-5.8734035	0.97731835
29	-0.494431	6.13987
30	-1.4168094	3.3106282
31	1.6979582	4.8118258
32	1.4792703	-1.3417891
33	-3.7473958	-8.202335
34	-10.73284	1.3437799
35	-0.30902866	3.9980886
36	-7.128604	1.0996832
37	-7.889332	-0.8732773
38	-7.6217656	-0.7571218
39	2.0650795	5.0830035
40	5.636484	0.15288964
41	-5.256096	-1.6997758
42	-1.807314	3.6471102
43	-1.5554515	6.473693
44	-1.6416038	3.7076428
45	-1.517731	3.7495537
46	-8.016301	-0.9839266
47	-6.5180564	-0.9750734
48	-7.4899626	-0.6753137
49	3.1977952	5.2775273
50	0.6788874	8.519397
51	-4.491529	0.8044538
52	-7.6665106	-0.6093565
53	-1.2842696	6.776042
54	-0.99293905	2.9341648
55	-1.0764881	2.9007537
56	-1.9986631	3.9332592
57	-6.5391245	-1.0698491
58	-11.442153	0.96066004
59	-1.1971561	6.426444
60	0.8845922	4.808351
61	2.084444	7.9306536
62	-5.8223863	7.2412825
63	-5.6865005	0.67740977
64	1.9334241	0.38781035
65	-5.620158	-1.3855345
66	-1.7774582	6.3534784
67	-6.043089	0.5383399
68	1.6832402	4.7492547
69	1.7992127	0.33554474
70	-1.879775	3.225312
71	2.6365678	-1.3945365
72	-4.631528	0.7079166
73	-5.5479703	-1.636614
74	-6.514803	8.112863
75	2.3406568	0.6097204
76	-5.6426144	6.9051023
77	1.9908491	-0.7781405
78	-2.0812461	6.773772
79	-1.2901156	3.3044
80	-6.737999	1.1150361
81	-6.013873	8.4447365
82	-5.192499	-1.6732333
83	-6.4177804	-2.2603204
84	-0.635125	7.400778
85	-5.4895086	6.838829
86	-4.5592327	0.46057996
87	-5.1112366	-1.8166404
88	-5.9896693	6.9920692
89	3.17466	0.73289925
90	-1.5135761	9.480681
91	-7.355033	-7.2254634
92	-4.5293255	0.35300234
93	3.5335245	-0.71218973
94	-5.4023776	-2.0254953
95	-6.853709	5.706916
96	-1.601846	7.2519684
97	-6.531699	6.8404703
98	-1.0933887	4.3774047
99	1.4333879	3.7877405
100	-6.9893284	0.99579626
101	-6.0475607	8.857119
102	-1.8935696	6.998545
103	-5.4417853	-1.5315245
104	-6.7585173	7.975936
105	-3.8964937	-7.1650906
106	-6.0335608	0.85444194
107	-6.5017223	-0.980642
108	-3.7649658	-5.9403915
109	-5.8711243	7.293747
110	-6.883238	1.0033286
