	log_likelihood
0	15.905878
1	19.779175
2	12.336697
3	12.378366
4	19.814028
5	18.01448
6	7.406335
7	15.7389345
8	18.653107
9	19.27768
10	20.678703
11	9.415031
12	7.6031103
13	18.545578
14	20.29534
15	-0.8106678
16	15.349035
17	7.5344415
18	14.997595
19	12.871065
20	20.779066
21	5.747523
22	12.957701
23	11.900693
24	9.540891
25	15.378862
26	7.2703733
27	5.258132
28	16.191954
29	16.144714
30	25.507664
31	8.367181
32	9.41608
33	3.1994596
34	8.861938
35	15.216454
36	16.214746
37	11.975689
38	10.490311
39	16.505173
40	11.529024
41	21.96902
42	21.101488
43	20.531101
44	24.410458
45	24.418139
46	7.7904234
47	20.479603
48	18.155851
49	16.670986
50	17.20996
51	15.302034
52	17.27466
53	16.191542
54	25.69754
55	25.184523
56	16.841543
57	17.521194
58	6.762539
59	16.053852
60	9.248262
61	3.9560661
62	10.858889
63	11.8971
64	13.909437
65	18.925882
66	23.337658
67	19.547832
68	22.734188
69	11.534076
70	20.379242
71	13.388102
72	19.16748
73	20.425669
74	4.290172
75	13.533505
76	10.245134
77	12.191078
78	20.28778
79	25.609573
80	16.40768
81	0.66806173
82	15.74404
83	1.0968568
84	7.7959185
85	6.496614
86	17.604778
87	18.57431
88	5.553945
89	15.003054
90	17.83373
91	-2.4414735
92	16.212206
93	14.187302
94	18.258587
95	5.448624
96	12.059614
97	5.225024
98	10.744949
99	6.892844
100	13.250743
101	-0.68237835
102	22.738895
103	12.205208
104	2.8298001
105	19.843771
106	19.464666
107	20.687595
108	10.52011
109	5.0813494
110	11.442357
111	19.01341
112	22.881466
113	19.775305
114	15.637751
115	21.280294
116	20.323507
117	19.791462
118	14.363823
119	24.303585
120	3.2460697
121	19.45071
122	17.070566
123	15.661832
124	22.049612
125	15.331566
126	16.786158
127	1.3022473
128	15.252264
129	19.420084
130	21.365042
131	21.590103
132	21.163797
133	20.69631
134	5.3244123
135	9.548084
136	12.224409
137	19.878572
138	18.702938
139	8.941099
140	18.0009
141	12.143728
142	8.501625
143	20.19513
144	15.247522
145	15.878827
146	22.68608
147	21.228909
148	5.6861706
149	12.215054
150	18.604406
151	11.559621
152	17.847012
153	18.565245
154	22.210424
155	20.575363
156	12.100128
157	20.966122
158	6.8050957
159	18.10263
160	19.978354
161	15.990237
162	15.887057
163	9.278098
164	19.071274
165	9.165031
166	21.84932
167	3.5449471
168	5.739291
169	7.9256744
170	16.846457
171	8.006288
172	20.161646
173	15.385996
174	7.4491286
175	17.794334
176	17.036768
177	12.660718
178	20.971617
179	9.847617
180	19.771463
181	18.758062
182	15.466467
183	21.606495
184	16.963274
185	21.461432
186	16.91683
187	17.400888
188	15.483256
189	19.577673
190	13.33275
191	18.0203
192	16.517313
193	7.893743
194	8.795596
195	5.352332
196	18.684454
197	9.8524
198	20.737946
199	21.233011
200	12.366426
201	3.9940407
202	-1.7704884
203	15.803125
204	20.687998
205	10.533958
206	14.332517
207	14.660298
208	21.613646
209	19.79346
210	13.902313
211	15.604525
212	10.546745
213	2.142157
