	z_coordinate_0	z_coordinate_1
0	1.3691591	6.617165
1	-4.7042294	-3.405159
2	-0.9719995	0.81375384
3	0.58572006	-7.8233724
4	2.8862462	2.1713703
5	-2.9266615	-2.5621428
6	-0.9491867	0.85077393
7	-5.731921	6.0440364
8	-1.7393041	1.6990315
9	-0.24309397	0.08853355
10	-6.1782675	-2.5749917
11	-0.9895668	0.88357425
12	2.5832617	-1.1970179
13	-8.687321	2.0904632
14	-4.1212997	-1.1626238
15	-6.2293625	-2.6747403
16	-4.033403	-0.07957283
17	-0.23003577	0.1962945
18	-7.442477	-1.6017654
19	2.9134684	2.8783207
20	1.9523375	-2.5712674
21	-0.23073481	0.26708993
22	8.431364	2.5942135
23	1.7326211	-2.1976311
24	-6.9587073	-3.5799959
25	-5.695198	6.2033105
26	-1.6905032	1.6116008
27	-8.636562	2.1073613
28	-6.3676147	8.2497635
29	-5.7205296	-3.9021182
30	0.10214491	-0.35668197
31	0.19206409	1.9278766
32	1.6122487	5.744648
33	2.2433887	-1.5040177
34	-0.58997893	-7.476173
35	-9.14052	1.7655469
36	-0.23861502	3.1966925
37	-6.735318	-2.2175233
38	-5.639799	-1.808329
39	-5.5761166	-1.8002132
40	1.4269661	3.8838341
41	6.281739	-3.132329
42	-2.6557095	-3.5597854
43	-0.36697564	2.4036024
44	-0.9602325	0.8780956
45	-0.37860382	2.4790125
46	-0.3954016	2.5136476
47	-5.3283834	-1.83085
48	-4.0643673	-4.686889
49	-5.415708	-2.119326
50	2.599234	3.91521
51	-1.1602601	6.4026856
52	-4.1017323	-1.3676603
53	-5.5159407	-2.1768818
54	-1.1000499	0.9355848
55	0.8565527	1.2078294
56	0.8466958	1.1655164
57	-0.6812463	2.694906
58	-4.030075	-4.8244166
59	-8.79722	2.137806
60	-0.98525536	0.7436038
61	0.42605892	4.103343
62	2.47862	2.2039886
63	-5.573882	6.3183756
64	-5.0120564	-4.627807
65	2.7904143	-1.4122937
66	-3.218935	-2.643005
67	-0.9196212	0.9322679
68	-5.0754967	-4.8433366
69	0.8611493	5.086845
70	2.1340425	-2.4311604
71	0.095169455	1.83274
72	4.0541234	-4.3533845
73	-4.1317654	-1.3267187
74	-2.9812489	-2.582895
75	-5.963249	7.7957916
76	2.5859742	-3.2095175
77	-5.2878346	5.9327855
78	2.9719243	-1.399903
79	-1.3938974	1.584783
80	0.1956251	1.963297
81	-6.4707355	-2.6875396
82	-6.420091	7.504314
83	-2.6307855	-3.6058547
84	-2.6994095	-1.7093128
85	-2.1198492	1.9809399
86	-5.144007	5.7182937
87	-4.0779243	-1.0995797
88	-2.534253	-3.6044912
89	-5.0496287	6.4608502
