	log_likelihood
0	1.5788643
1	15.709058
2	25.358318
3	10.714635
4	15.16019
5	20.111729
6	23.573582
7	9.6689625
8	19.004719
9	23.65033
10	22.361383
11	27.12507
12	8.553027
13	13.523499
14	19.143536
15	21.155735
16	2.2435582
17	20.08933
18	10.200053
19	19.885077
20	7.426708
21	24.91778
22	0.62328976
23	9.681519
24	11.303721
25	13.665713
26	21.002619
27	11.589203
28	10.087204
29	14.800499
30	20.524082
31	29.161366
32	8.514989
33	5.6348667
34	-0.42112938
35	11.789228
36	16.666895
37	21.083645
38	14.075366
39	11.444806
40	17.28484
41	10.892778
42	21.184954
43	25.89617
44	27.179361
45	28.540905
46	27.898365
47	6.9562545
48	21.848019
49	20.060717
50	16.01944
51	15.534224
52	15.349988
53	17.798
54	19.831524
55	28.617504
56	28.636438
57	19.310266
58	16.497713
59	7.8445168
60	20.866203
61	10.164849
62	8.687819
63	15.401807
64	13.580144
65	9.713194
66	19.514719
67	28.930256
68	21.355171
69	20.477167
70	8.458859
71	24.765192
72	6.91987
73	18.961464
74	20.74004
75	11.056414
76	6.2660418
77	12.448057
78	11.839838
79	27.854727
80	28.525131
81	16.022663
82	6.040727
83	15.678877
84	1.7494482
85	8.4891815
86	5.1770306
87	17.912535
88	18.35661
89	9.268079
90	13.308551
91	17.005354
92	-3.4404595
93	13.93585
94	12.416827
95	18.266958
96	0.79247445
97	15.846191
98	9.973626
99	15.551813
100	6.7713537
101	11.780055
102	2.2924716
103	29.215845
104	12.769114
105	2.458218
106	15.767914
107	21.301228
108	20.933315
109	10.327057
110	4.9130874
111	13.446762
112	21.878885
113	28.049412
114	20.373554
115	16.56173
116	18.325226
117	21.406712
118	15.94058
119	13.63575
120	26.200352
121	-1.2815926
122	18.57109
123	17.080492
124	17.586166
125	25.426266
126	15.571238
127	17.718922
128	-1.3152864
129	15.850696
130	17.692448
131	28.240177
132	27.202396
133	22.191666
134	22.184292
135	7.200554
136	10.149205
137	7.7774496
138	17.66966
139	19.750916
140	12.5782795
141	17.590036
142	11.079593
143	6.6897593
144	21.817099
145	15.540106
146	18.661316
147	30.143719
148	27.94028
149	6.5876284
150	14.20856
151	15.028975
152	12.211806
153	17.55004
154	19.300817
155	29.131283
156	26.612247
157	13.575197
158	23.01147
159	6.72471
160	19.159054
161	25.421036
162	16.169859
163	15.864118
164	6.4911118
165	18.258722
166	8.784975
167	20.725456
168	6.305812
169	2.6698227
170	10.722517
171	17.656683
172	7.876017
173	19.529236
174	15.19132
175	3.189796
176	22.823048
177	17.13564
178	10.250395
179	17.90627
180	9.191228
181	19.207434
182	16.759058
183	19.643356
184	22.193853
185	14.644025
186	20.438873
187	18.760777
188	20.522354
189	12.086275
190	18.632404
191	17.550175
192	17.274849
193	13.265251
194	6.97015
195	13.223801
196	5.431777
197	17.12174
198	11.468542
199	22.971375
200	20.93547
201	12.306648
202	1.0408036
203	-0.28755054
204	13.64628
205	20.101917
206	9.352364
207	12.819745
208	12.383981
209	17.981941
210	19.32999
211	19.872675
212	12.499464
213	8.354703
214	2.0215151
215	4.2668853
216	4.1887846
217	18.540833
218	7.3360977
219	4.0208654
220	7.0360346
221	8.46575
222	1.264178
223	20.113947
224	6.8585587
225	13.850881
226	13.723598
227	13.342436
228	10.822705
229	27.6616
230	5.1643677
231	16.713497
232	6.316616
233	8.321908
234	11.934842
235	16.325878
236	17.558985
237	-2.1589215
238	7.812799
239	6.5382996
240	16.654654
241	11.842795
242	16.265219
243	12.879456
244	21.85055
245	5.6832
246	-7.5752
247	9.53153
248	14.302716
249	14.582149
250	5.919934
251	-5.5762634
252	8.540745
253	14.222403
254	11.420832
255	19.424143
256	17.90218
257	17.738617
258	6.0149727
259	3.7722855
260	23.332685
261	16.933073
262	10.607554
263	12.604009
264	6.0145617
265	10.178121
266	8.208683
267	12.123991
268	6.19419
269	16.791855
270	11.230809
271	11.657455
272	19.577396
273	12.676727
274	17.254765
275	17.49068
276	22.184402
277	9.027891
278	13.640259
279	4.3710823
280	-0.033549596
281	3.148293
282	18.965172
283	14.270849
284	15.672139
285	14.586443
286	21.404629
287	17.350351
288	7.378337
289	19.866938
290	-9.421057
291	5.5383325
292	17.164898
293	-0.39880294
294	9.553307
295	15.9745865
296	-1.3157827
297	11.450471
298	13.526959
299	4.127735
300	17.355938
301	15.910077
