	z_coordinate_0	z_coordinate_1
0	1.3988712	-3.2969801
1	2.0648303	-4.296452
2	1.8928113	-3.9528985
3	1.916103	-4.0185122
4	3.0255718	-1.308419
5	2.9312272	-1.1221796
6	2.9916592	-1.2034303
7	3.1103141	-1.2661694
8	2.9852312	-1.1855491
9	3.0224895	-1.2261084
10	3.3835125	-2.009986
11	-1.178106	-4.765126
12	-2.245252	-4.1152043
13	-1.0432506	-4.898615
14	-0.16605689	-5.91558
15	-2.380974	-4.1399784
16	-1.0114522	-5.3305664
17	-1.8764225	-4.3447275
18	-2.8533187	-4.196726
19	-2.5201516	-4.071022
20	-2.7044346	-4.0791225
21	-2.7399938	-4.1294723
22	-2.5766091	-4.105546
23	-2.7409768	-4.312313
24	-2.4773889	-4.1674514
25	-2.8144717	-4.2597246
26	-2.5124083	-3.9985583
27	-2.4475029	-3.979058
28	-2.8299792	-4.2447567
29	-2.685576	-4.0644836
30	-3.0936227	-4.4861326
31	-2.8631375	-4.2156506
32	-3.1828518	-4.3715177
33	0.030517653	-3.5606077
34	0.023214862	-3.8273993
35	0.6521888	-4.6770344
36	0.78233176	-5.141985
37	8.73788	-2.5559366
38	8.808566	-2.4110448
39	3.075663	-7.182648
40	2.9780633	-6.9921417
41	2.9511127	-7.008618
42	2.2844522	-5.0193386
43	2.1565948	-5.176728
44	2.0401573	-5.267491
45	1.0543511	-3.163278
46	0.7207479	-3.2473881
47	1.8064336	-4.0451646
48	4.79647	-3.3074546
49	4.5641265	-2.8512857
50	5.5531144	-3.830109
51	5.446506	-4.000727
52	9.345416	-4.471243
53	10.128415	-1.9587654
54	9.832501	-2.248139
55	9.491049	-0.4061418
56	5.3329043	-5.382703
57	4.758082	-4.8697004
58	4.500803	-4.525115
59	3.9419663	-3.737042
60	4.4927034	-4.29522
61	5.0081134	-5.0810976
62	4.904033	-4.339895
63	8.790797	-1.5203556
64	8.876704	-1.7003312
65	4.647452	-6.48129
66	4.417802	-5.9472513
67	4.428286	-5.9890976
68	3.03251	-8.055635
69	2.832302	-7.562028
70	2.9776368	-7.880865
71	3.051501	-8.076811
72	2.3866258	-7.3925514
73	1.3303326	-5.9086394
74	-0.35861754	-4.2903743
75	1.1528963	-5.7512355
76	1.2879187	-5.7412057
77	1.6498431	-6.2468605
78	4.9976306	-4.745356
79	4.2626157	-3.8090074
80	5.0178523	-4.8863287
81	4.791425	-4.546273
82	1.7047713	-4.2938104
83	1.5456076	-3.8184907
