	log_likelihood
0	20.555357
1	18.682596
2	21.290503
3	22.694195
4	19.577366
5	17.537882
6	11.202656
7	16.479168
8	17.06036
9	19.031643
10	13.433902
11	26.592524
12	26.809956
13	25.946676
14	15.295697
15	28.175083
16	9.453986
17	25.510324
18	24.763714
19	28.77235
20	26.888971
21	25.886572
22	27.94288
23	20.733313
24	26.552637
25	22.21036
26	27.269787
27	25.244324
28	22.058634
29	26.5854
30	13.881599
31	23.71761
32	17.207153
33	26.284718
34	22.275898
35	27.216223
36	26.279617
37	22.549686
38	19.802658
39	16.054846
40	19.166143
41	21.340044
42	23.523518
43	24.255054
44	23.71232
45	14.423116
46	5.3356476
47	20.031324
48	20.71386
49	22.792028
50	20.067211
51	19.608164
52	7.1016617
53	19.272438
54	19.978382
55	21.551868
56	26.09259
57	24.726152
58	21.932327
59	18.001825
60	23.151367
61	24.699545
62	12.549001
63	21.469639
64	17.781475
65	22.098988
66	19.220924
67	21.820704
68	21.222797
69	21.581768
70	22.172667
71	21.55131
72	17.634628
73	17.546833
74	10.946585
75	17.919954
76	16.587688
77	20.340715
78	22.432745
79	22.527126
80	23.743862
81	24.824795
82	26.021912
83	25.517374
84	25.106482
85	26.513422
86	26.018362
87	25.581295
88	25.157152
89	26.388306
90	15.169836
91	12.762027
92	13.461744
93	17.89188
94	22.788128
95	19.022272
96	15.781443
97	22.026623
98	26.171803
99	22.275808
100	8.5233555
101	29.456879
102	29.101215
103	25.777897
104	25.710367
105	27.775534
106	28.234705
107	28.677607
108	19.476896
109	28.320953
110	29.000584
111	28.879587
112	28.182678
113	23.899448
114	30.70055
115	29.92023
116	24.265694
117	27.647608
118	16.129723
119	18.538017
120	19.369175
121	16.876713
122	19.382969
123	20.110142
124	14.879608
125	27.576086
126	26.2096
127	26.129858
128	25.401056
129	23.381628
130	23.548014
131	25.885431
132	16.436306
133	26.734959
134	26.965734
135	26.281443
136	26.54903
137	26.47266
138	25.778687
139	13.821907
140	9.947645
141	24.137974
142	22.592875
143	20.167547
144	23.438522
145	23.281713
146	25.401424
147	26.923725
148	27.186367
149	26.532999
150	12.935333
151	25.161243
152	11.929681
153	7.418772
154	22.519367
155	26.368519
156	27.031897
157	24.458607
158	13.678586
159	25.013435
160	11.509506
161	11.14963
162	28.387806
163	27.328363
164	25.55594
165	22.215172
166	29.293732
167	30.23637
168	26.180796
169	28.976242
170	19.554989
171	25.31402
172	23.990553
173	13.397494
174	16.896793
175	26.25318
176	26.108536
177	21.887058
178	21.022465
179	22.58986
180	19.611578
181	21.74265
182	16.648129
183	19.783615
184	18.330555
185	22.038044
186	21.75898
187	21.432781
188	20.8837
189	24.112204
190	22.131922
191	20.27679
192	18.882748
193	21.149143
194	20.849478
195	14.098505
196	20.827919
197	19.889835
198	19.179974
199	20.590576
200	20.582964
201	20.550478
202	19.836758
203	23.807896
204	26.054586
205	20.161713
206	12.735542
207	11.501822
208	14.825551
209	12.553582
210	14.286264
211	22.385544
212	4.177054
213	25.683533
214	12.318913
215	13.926616
216	12.956492
217	13.831039
218	15.500363
219	13.979597
220	15.124858
221	32.74671
222	32.596344
223	31.159374
224	32.604095
225	31.05009
226	2.393783
227	7.9107385
228	22.897757
229	32.218372
230	33.066887
231	31.421942
232	10.194933
233	21.761955
234	14.518732
235	31.307064
236	22.233847
237	24.605558
238	23.658857
239	21.947542
240	20.747961
241	19.829952
242	17.349264
243	18.160862
244	26.269974
245	20.502821
246	23.429289
247	25.501232
248	25.220211
249	21.958294
250	20.691257
251	16.662897
252	18.825464
253	15.34166
254	19.350681
255	27.706259
256	28.172567
257	29.009134
258	29.29478
259	30.584412
260	28.884954
261	29.86848
262	29.862188
263	23.021423
264	26.863567
265	24.262384
266	24.381506
267	8.677343
268	21.738451
269	18.889408
270	22.440548
271	10.619836
272	9.215749
273	20.214132
274	11.434334
275	10.401334
276	22.14263
277	18.693045
278	17.536152
279	20.186605
280	8.868924
281	0.1980278
282	20.07317
283	18.930185
284	8.302464
285	21.762415
286	21.26125
287	18.865807
288	17.71455
289	17.199066
290	18.64863
291	19.789875
292	19.570488
293	16.228086
294	15.8257885
295	14.574117
296	18.347654
297	17.95261
298	22.052761
299	21.841314
300	20.31586
301	20.50477
302	17.153643
303	19.332842
304	14.418261
305	16.889902
306	27.293741
307	32.171417
308	1.675914
309	22.32837
310	29.961502
311	30.48547
312	29.68077
313	31.321798
314	27.06688
315	29.938549
316	30.593805
317	28.307474
318	28.282162
319	28.439096
320	29.397324
321	25.539032
322	27.743872
323	24.849209
324	26.90211
325	27.021658
326	16.461452
327	13.757528
328	13.561971
329	16.806213
330	15.783167
331	22.488413
332	22.953625
333	26.868305
334	27.379791
335	24.102549
336	28.526571
337	27.895565
338	26.27175
339	17.34786
340	7.5890913
341	19.22414
342	22.150024
343	16.301207
344	12.204709
345	23.320688
346	25.737112
347	18.456018
348	18.203014
349	16.140562
350	16.70629
351	16.864742
352	13.904004
353	14.080923
354	16.725933
355	18.198479
356	17.157505
357	27.282003
358	26.777695
359	29.460278
360	25.619099
361	17.284664
362	12.657383
363	18.371466
364	25.468866
365	19.305658
366	17.883928
367	17.61338
368	15.866552
369	26.650822
370	16.709309
371	30.90289
372	28.539845
373	24.757853
374	30.854593
375	32.97617
376	31.972366
377	33.321945
378	19.111721
379	33.469017
380	34.985176
381	34.76275
382	27.70893
383	33.555756
384	31.50802
385	30.402868
386	31.942663
387	34.31626
388	34.110447
389	29.777033
390	33.51561
391	34.362694
392	33.82563
393	34.68036
394	34.704082
395	35.237656
396	30.150421
397	26.031452
398	32.2938
399	34.581024
400	34.393246
401	31.312317
402	25.112698
403	25.259283
404	28.502426
405	26.2019
406	28.483576
407	25.0347
408	15.40179
409	24.773611
410	20.733208
411	23.153522
412	18.8605
413	25.37038
414	26.645956
415	25.31002
