	z_coordinate_0	z_coordinate_1
0	0.4501024	-2.014927
1	0.80065376	-2.5394685
2	0.89464194	-3.5759904
3	0.8908643	-3.1581895
4	0.8078658	-3.172702
5	3.907818	-0.9405714
6	3.9170487	-0.4936405
7	3.72632	-0.32070407
8	3.8969162	-0.6039492
9	3.9356115	-0.4841703
10	3.8955362	-0.70054805
11	4.1046376	-1.6288232
12	-2.7288575	-3.158849
13	-3.7892857	-2.2874162
14	-2.626604	-3.2238543
15	-2.0320768	-4.486365
16	-3.9001195	-2.252418
17	-2.7473557	-3.6304839
18	-3.3834999	-2.2220707
19	-4.7254333	-2.1582816
20	-4.044465	-2.0992296
21	-4.2963176	-2.0669725
22	-4.54693	-2.1711528
23	-4.2222323	-2.2367604
24	-4.653312	-2.519064
25	-4.1596675	-2.388605
26	-4.7472186	-2.46405
27	-4.0615497	-2.1211336
28	-3.9632328	-2.0701404
29	-4.764169	-2.2859836
30	-4.317987	-2.131367
31	-5.356043	-2.5401814
32	-4.701723	-2.1559165
33	-5.346158	-2.6088288
34	-0.8711504	-2.20168
35	-1.1157298	-2.5038261
36	-0.9593422	-3.6279387
37	-0.9415152	-4.218028
38	7.6639414	-6.2832394
39	7.738149	-6.256789
40	0.24032708	-6.4885907
41	0.24595864	-6.310541
42	0.2619127	-6.2562294
43	0.6557861	-4.3939357
44	0.42674989	-4.4657807
45	0.39076358	-4.3575096
46	0.20348074	-2.4561183
47	-0.30597776	-2.2098498
48	0.5358972	-3.3760946
49	4.048032	-4.221808
50	4.039584	-3.8889363
51	4.4003096	-5.1399317
52	4.2621036	-5.123176
53	6.2845206	-8.775286
54	8.853219	-7.3231573
55	8.8937845	-7.3069305
56	10.058911	-5.8970327
57	2.8032026	-7.35034
58	2.8605552	-6.43348
59	2.9532468	-6.071125
60	2.799799	-5.4735193
61	3.0452464	-5.8853664
62	2.9004357	-6.836394
63	3.76497	-5.863819
64	8.515027	-5.836652
65	8.342326	-5.943004
66	1.8331851	-6.949978
67	1.8781749	-6.3627176
68	1.8688825	-6.54171
69	-0.099168226	-6.968397
70	0.05063589	-6.449539
71	-0.12636916	-6.909384
72	-0.03289108	-6.950321
73	-0.34430963	-5.848424
74	-0.36200458	-4.275914
75	-1.3193058	-2.2551503
76	-0.36487913	-3.9077022
77	-0.22274734	-4.1332383
78	-0.22185998	-4.561923
79	2.8265119	-5.8241262
80	2.9383452	-4.9342594
81	2.7330403	-5.945257
82	2.8490622	-5.5880365
83	0.4564337	-3.3763988
84	0.5519096	-2.820001
85	0.18756865	-3.392904
86	0.36528057	-2.6365712
87	0.7375513	-1.3683447
88	0.896437	-1.7862844
89	0.6412577	-1.6817253
90	0.60388976	-1.5229435
91	0.843028	-4.0776434
92	0.5930592	-4.87951
93	0.72026604	-3.3907225
94	0.92032343	-2.2573419
95	0.63101274	-1.9943461
96	1.0856278	-1.7253642
97	1.3267003	-2.8352542
98	1.0537776	-2.0375922
99	-3.745723	-0.7687136
100	-3.4305947	-0.95378137
101	-5.964647	-2.1051106
102	-4.049639	-0.87857896
103	-4.116519	-0.7676966
104	-4.4350595	-0.79514724
105	-4.390243	-0.7683381
106	-4.1779857	-0.63931096
107	-4.190552	-0.766359
108	-4.2545013	-0.83693606
109	-3.0207372	-1.2557251
110	-1.3031683	0.75080955
111	-1.6089292	0.85630715
112	-1.5559982	0.84453934
113	-1.4822527	0.8289918
114	-1.6896625	0.96679115
115	-1.4859785	0.6844536
116	-1.405492	0.7091802
117	-1.6802603	0.9070375
118	-1.6275111	0.64933646
119	-6.642104	1.2319077
120	-7.0269246	1.3258872
121	-7.1139235	1.3841996
122	-7.2209296	1.4912119
123	-7.159885	1.4302881
124	-7.087272	1.43076
125	-7.280923	1.6223408
126	-8.448265	3.88003
127	-8.577195	3.7857962
128	-8.33287	3.8609648
129	-8.588757	3.715694
130	-8.511259	3.6990063
131	-8.595845	3.6642578
132	-8.357429	3.7108016
133	-8.920272	3.4681747
134	-8.467284	3.7354975
135	-8.498276	3.8234298
136	-8.603858	3.7770789
137	-8.434125	3.8768322
138	-8.49145	3.846182
139	-8.416896	3.9172466
140	-7.9914317	4.4482145
141	-9.941943	-5.6451216
142	-4.7072673	4.5916386
143	-4.78853	4.7471533
144	-4.2583184	4.619098
145	-4.151424	4.455135
146	-4.794707	4.75857
147	-4.788782	4.7539096
148	-4.6789584	4.535884
149	-4.342707	4.226062
150	-4.304981	4.2785544
151	-10.0507	-5.605333
152	-4.316767	4.4123106
153	-10.02909	-5.7701893
154	-10.481584	-5.463346
155	-4.0094943	4.5042057
156	-2.6983325	3.144717
157	-2.8347206	3.2162678
158	-3.99463	4.055682
159	-8.646498	-6.4026365
160	-2.5256293	3.016056
161	-8.624637	-6.6930685
162	-8.547748	-6.818711
163	-2.8579748	3.0483067
164	-2.842443	3.3881872
165	-2.4816244	3.034776
166	-2.989798	3.4022026
167	-2.9016132	3.3081062
168	-2.861253	3.2208836
169	-2.919958	3.282263
170	-2.848524	3.171038
171	1.2082893	-0.6214154
172	1.3516825	-0.71012354
173	1.4707756	-0.98138547
174	2.4120371	-1.8005167
175	2.234996	-1.4550775
176	1.6719533	-0.9595792
177	1.6031156	-0.86342883
178	1.0612141	-1.8807379
179	0.98592883	-1.4235482
180	0.780797	-1.8397092
181	0.9155851	-1.3489894
182	0.78723556	-1.3354852
183	0.4306293	-1.5355248
184	0.6846278	-1.8019153
185	1.1941174	-1.9492872
186	6.5626564	-3.4829433
187	6.703557	-3.8320763
188	6.7169404	-3.6037362
189	6.7943826	-4.1725554
190	6.752559	-4.076817
191	6.8783116	-4.0553355
192	7.8585887	-5.3237944
193	7.832422	-5.242597
194	9.631144	-4.5682545
195	9.734378	-4.6048408
196	9.609363	-4.603593
197	9.655082	-4.5930257
198	9.338061	-6.6756763
199	9.342572	-6.66704
200	9.068008	-5.2894106
201	9.299225	-5.059336
202	10.073977	-4.885965
203	10.122655	-4.865333
204	-0.56556666	-4.77715
205	-0.6730442	-3.526433
206	-1.3312185	-2.1339433
207	-5.895882	-7.577647
208	-6.555517	-6.5848126
209	-6.381692	-6.8466377
210	-6.467954	-6.6656413
211	-5.9198074	-7.4578676
212	-0.621906	-4.3674655
213	-0.45176142	-4.0346384
214	-0.65888464	-3.8499
215	-6.624442	-7.6459928
216	-0.36455697	-0.15873668
217	-7.107019	-7.0794487
218	-7.0303497	-7.3122406
219	-6.477546	-7.5877213
220	-6.6381764	-7.199461
221	-6.267658	-7.7165804
222	1.3480566	-0.097545184
223	1.6089624	0.10222816
224	1.684386	0.20267111
225	1.626814	0.17425302
226	1.4538795	0.009245746
227	2.5524666	-2.0272114
228	2.3673675	-2.0345101
229	1.6628938	-0.25912333
230	1.6490188	0.032571696
231	1.9151498	0.15508586
232	1.8527097	0.096332334
233	-6.230929	-7.969268
234	1.732176	-0.36183462
235	-6.1249685	-7.766265
236	1.8266886	-0.03943897
237	5.1381097	-4.856438
238	4.981134	-4.17682
239	4.7453723	-3.8453615
240	4.664129	-3.751806
241	4.7999063	-4.2020564
242	5.1316686	-5.445752
243	3.0681005	-6.2027082
244	2.913862	-6.0698557
245	2.880957	-7.144253
246	3.1088014	-6.060174
247	2.9782476	-6.650285
248	2.601049	-7.54814
249	2.535256	-7.586974
250	2.4941497	-7.76366
251	2.5249608	-8.243392
252	2.4484828	-7.9957347
253	8.530917	-6.8427954
254	8.551633	-6.9221
255	9.29313	-5.5801535
256	8.190816	0.59291667
257	8.131116	0.6634954
258	8.049242	0.6576706
259	8.055602	0.63285154
260	8.120847	0.61451966
261	8.200341	0.62511057
262	8.167663	0.6743427
263	8.106246	0.6377288
264	7.520899	0.6974925
265	8.04618	0.7384306
266	7.871987	0.058217905
267	7.6443467	0.012648962
268	-5.3679004	-8.058724
269	1.2353128	-4.4351525
270	1.165903	-5.512412
271	1.6123605	-3.519644
272	-5.1815	-8.954887
273	-4.9137306	-9.516993
274	4.721457	-4.412141
275	-4.8645844	-9.370966
276	-4.897796	-9.728424
277	4.493227	-4.6117926
278	5.824211	-2.6297734
279	5.876299	-1.8900133
280	5.8509355	-2.6029556
281	-4.939452	-9.298412
282	-3.9143262	-10.074495
283	9.458836	-5.781976
284	7.478061	-5.2879305
285	8.288706	-8.139218
286	6.3290668	-5.5621963
287	6.2665744	-5.3716555
288	6.273329	-5.6339397
289	7.4602466	-6.687712
290	7.4378967	-6.6474295
291	7.407727	-6.71748
292	0.9629794	-5.1792307
293	1.1387582	-4.089743
294	1.1752316	-4.75287
295	1.3299509	-3.8721483
296	1.415349	-3.6670225
297	8.362102	-5.2776165
298	8.459147	-5.206558
299	8.236466	-4.9394393
300	5.2171273	-3.751867
301	5.382584	-4.3080463
302	5.578774	-4.2775264
303	4.1849537	-3.7989783
304	3.8976014	-3.2798262
305	3.9188335	-2.949617
306	3.9086812	-3.119001
307	-0.8884305	-0.7004527
308	-1.2195429	-0.8081846
309	-1.584566	-1.7901187
310	-1.1558583	-1.4069538
311	-1.3854591	-0.5374424
312	-1.0757682	-0.70317876
313	-1.0608685	-0.6860897
314	-1.2464467	-1.0896684
315	-1.5878252	-0.9799974
316	-1.3704122	-1.1675792
317	-1.0863876	-1.1768515
318	-1.0528134	-1.6843044
319	-1.2255914	-3.7911062
320	-1.2349242	-3.6945362
321	-1.20589	-4.014007
322	-1.595877	-2.9446929
323	-1.1791031	-4.5212607
324	-1.0096512	-6.115164
325	-1.0556463	-5.410114
326	-0.9611588	-4.58552
327	2.7215514	-3.2389128
328	2.910845	-3.5756478
329	2.900276	-3.1982067
330	4.776303	-5.186279
331	4.93743	-5.3794413
332	-1.6728413	-5.281601
333	-1.6678482	-5.271986
334	-1.7028897	-5.2594533
335	-1.8230567	-4.389173
336	-1.8389819	-4.0150557
337	-1.814935	-4.604459
338	-1.8485744	-4.2166586
339	-1.8386387	-3.6973157
340	6.4138546	-3.9605408
341	3.0223906	-1.969086
342	6.2300963	-4.8736396
343	6.3959775	-5.431686
344	1.364277	-5.791238
345	1.3589172	-5.7754984
346	8.229337	-7.196027
347	8.460857	-6.535981
348	4.8741746	-7.9386654
349	4.9384255	-7.800817
350	6.727741	-8.240262
351	6.648689	-8.448621
352	9.045961	-7.8472385
353	6.9212294	-10.379168
354	6.9660773	-10.3697
355	-11.601509	-1.4869213
356	-11.609668	-1.60623
357	-11.580223	-1.6966512
358	1.7764316	3.9172077
359	1.1581475	3.712506
360	1.0309078	4.5618467
361	0.8076972	4.2550616
362	-11.758616	-1.507405
363	-12.114539	-2.4788926
364	0.4330253	4.4814405
365	0.50787026	5.284828
366	-1.2654644	7.586463
367	0.6103384	4.1065264
368	-11.706515	-2.2003481
369	-11.673626	-2.2830358
370	1.266732	4.6261854
371	-11.819602	-1.7668456
372	3.5678432	8.314328
373	3.91345	8.970425
374	2.4158778	4.4574723
375	2.7115242	6.0598764
376	2.5652988	5.5268097
377	3.3990076	6.2823462
378	2.8973117	6.094496
379	5.259312	6.87614
380	2.803648	5.705918
381	2.7558167	6.517413
382	2.8024106	6.668199
383	2.7232957	8.404145
384	3.5798626	7.7773194
385	3.6967504	7.8530807
386	3.994784	7.9502153
387	3.351424	7.9303207
388	2.4624214	6.0553656
389	2.0002396	5.1288877
390	2.439725	4.778746
391	3.1112669	7.028651
392	2.1004236	4.572803
393	2.295434	4.9879503
394	2.025267	4.9510574
395	2.2561042	5.1750116
396	2.3042274	5.746456
397	4.272942	7.9105816
398	3.1985273	7.039522
399	3.5663755	7.012163
400	2.5824938	5.6521797
401	2.1424644	5.624878
402	3.128133	6.1351414
403	3.9112751	7.5738688
404	5.0172877	7.3584304
405	3.0443273	7.457986
406	0.76973695	5.3041744
407	2.0397553	7.252145
408	-1.0351859	7.840793
409	-2.8698165	9.503886
410	-1.7066044	8.783588
411	-0.8465932	9.860746
412	-0.28285986	8.130817
413	-0.11258964	10.551487
414	-1.548958	9.281939
415	-1.7393881	8.988277
416	-0.9407709	9.079096
417	-2.7557309	10.268589
418	-1.9785085	8.729168
419	0.61796695	5.413843
420	0.7220849	5.356195
421	0.88652736	5.6306295
422	-1.8221616	8.737407
423	-2.2318616	8.451035
424	-1.7703573	9.073349
425	-2.3389497	8.304336
426	-2.7085657	9.194315
427	-1.6778328	8.20543
428	-1.5556883	8.684534
429	-1.770901	8.185373
430	-1.6583335	8.364856
431	-1.9382772	7.747681
432	-1.7404019	7.9521027
433	-1.7825327	8.1295
434	-1.4463848	8.354551
435	-1.9642122	8.788494
436	-1.5726334	9.133932
