	log_likelihood
0	24.88015
1	21.024378
2	16.63461
3	19.735188
4	20.973217
5	24.046423
6	22.75159
7	17.77766
8	21.578852
9	21.381365
10	23.744099
11	17.710148
12	29.917004
13	29.608997
14	29.21645
15	21.439337
16	31.290075
17	16.27213
18	29.587626
19	28.211746
20	30.792358
21	29.898981
22	29.09472
23	30.496378
24	26.360046
25	30.356007
26	26.449915
27	27.888706
28	27.567013
29	28.605682
30	29.381372
31	19.784584
32	28.614655
33	23.271389
34	27.995129
35	25.4604
36	27.825405
37	26.76582
38	16.17479
39	13.576525
40	15.90789
41	18.877552
42	20.690716
43	22.460827
44	23.61904
45	23.660519
46	19.950794
47	11.239454
48	22.388428
49	17.202961
50	18.445398
51	16.290659
52	16.29123
53	7.6577806
54	14.625079
55	17.01659
56	15.708285
57	21.965528
58	21.653828
59	18.945877
60	16.052233
61	20.684992
62	21.488092
63	6.98748
64	17.439432
65	16.287678
66	18.847757
67	17.488226
68	19.45597
69	23.120045
70	23.075062
71	24.344784
72	22.790241
73	20.493755
74	19.288055
75	11.803704
76	19.850729
77	19.056835
78	22.095804
79	16.28719
80	18.077374
81	17.512205
82	18.501024
83	25.668316
84	25.947262
85	25.940685
86	28.439112
87	28.117908
88	27.407116
89	27.96969
90	28.583109
91	11.400549
92	11.930795
93	10.167441
94	21.131207
95	26.543325
96	23.887028
97	15.8190975
98	25.497522
99	27.096796
100	24.451542
101	5.477641
102	29.505398
103	28.217642
104	24.256725
105	24.573309
106	26.80387
107	26.492756
108	27.848907
109	21.708042
110	31.789026
111	30.61558
112	30.14861
113	31.753033
114	27.699759
115	32.933952
116	33.514336
117	27.32442
118	31.072699
119	15.453954
120	17.493507
121	19.064436
122	15.762487
123	18.770103
124	18.059439
125	11.492592
126	29.414387
127	29.831396
128	29.727371
129	29.620813
130	30.757244
131	29.708042
132	29.445154
133	22.656918
134	31.3835
135	29.75112
136	30.11583
137	28.74818
138	30.07966
139	27.178173
140	20.29845
141	6.0847635
142	24.192966
143	22.840057
144	21.15884
145	23.30243
146	22.68057
147	23.59627
148	25.674982
149	24.774384
150	25.024437
151	8.188318
152	24.98504
153	8.242469
154	3.1189597
155	21.916523
156	24.785244
157	26.416758
158	22.819727
159	9.13372
160	22.70689
161	6.936385
162	6.6004753
163	27.322208
164	26.13796
165	23.733261
166	21.122158
167	27.485815
168	28.122013
169	25.508215
170	28.418255
171	23.73999
172	27.930424
173	25.972021
174	20.128927
175	24.141653
176	28.71484
177	28.893078
178	26.203274
179	25.755304
180	26.327341
181	25.96316
182	26.682144
183	21.386791
184	24.115192
185	22.6115
186	18.829342
187	19.018265
188	18.04034
189	18.639292
190	19.866901
191	18.055513
192	14.1934185
193	15.460953
194	12.870979
195	13.49988
196	11.670572
197	14.023867
198	14.691409
199	15.039444
200	16.433155
201	13.907193
202	14.205429
203	13.365634
204	24.830528
205	26.758219
206	22.615314
207	13.311943
208	11.974825
209	13.823866
210	12.95505
211	13.524849
212	23.245556
213	7.8794527
214	26.103199
215	12.147982
216	18.801102
217	13.578102
218	12.877461
219	12.712608
220	12.95336
221	13.120015
222	26.61708
223	25.807297
224	24.526964
225	26.008856
226	25.227379
227	11.715398
228	15.059766
229	23.7899
230	26.832348
231	26.426373
232	25.268927
233	11.39721
234	23.329088
235	12.971258
236	27.641724
237	19.530828
238	21.485334
239	20.061962
240	19.07861
241	19.568813
242	17.710758
243	17.388046
244	16.638958
245	23.575485
246	19.984947
247	22.152475
248	21.888054
249	21.787073
250	19.563305
251	18.150517
252	14.724192
253	17.634563
254	15.879596
255	14.748528
256	26.485153
257	28.602106
258	28.813961
259	29.50056
260	29.485138
261	27.384918
262	29.742046
263	29.57771
264	25.142519
265	28.097538
266	25.243608
267	24.159023
268	10.421671
269	18.14801
270	16.625381
271	18.638224
272	10.463831
273	11.267435
274	16.492071
275	11.571861
276	11.844524
277	18.299564
278	16.144283
279	12.739757
280	16.936779
281	5.981823
282	-2.8076386
283	16.028893
284	14.722758
285	11.271811
286	19.884548
287	19.553127
288	19.27465
289	14.106633
290	13.473323
291	15.027936
292	14.557318
293	14.595433
294	11.975092
295	12.152506
296	11.503285
297	16.516287
298	15.304843
299	17.102028
300	21.365187
301	20.071232
302	18.573706
303	12.730559
304	14.08149
305	9.871106
306	12.255337
307	30.405954
308	32.042854
309	15.367314
310	25.791265
311	29.567936
312	31.07962
313	30.95087
314	30.799671
315	27.081638
316	30.120035
317	29.705435
318	28.523132
319	27.786682
320	28.082926
321	30.074799
322	27.433691
323	28.387838
324	26.595566
325	27.948803
326	27.833155
327	13.187393
328	11.35019
329	12.288655
330	15.731573
331	16.387848
332	23.299942
333	23.689539
334	26.83759
335	27.80304
336	25.92745
337	28.312107
338	28.443243
339	27.831432
340	13.395798
341	9.354523
342	15.958857
343	17.286526
344	15.856283
345	12.280904
346	20.341858
347	19.715351
348	14.621344
349	14.896625
350	16.195496
351	15.389821
352	14.6790085
353	15.541306
354	16.035606
355	18.032442
356	19.64288
357	17.823349
358	27.558163
359	27.575495
360	28.583675
361	25.6297
362	19.027817
363	14.205057
364	19.4454
365	24.671856
366	17.330656
367	19.209309
368	16.238873
369	15.054196
370	26.414669
371	16.144077
372	27.399555
373	25.264965
374	24.042055
375	29.649597
376	30.645208
377	29.292786
378	30.866358
379	18.305073
380	30.652105
381	31.232016
382	30.879978
383	25.235973
384	29.986862
385	28.085897
386	26.478886
387	29.203747
388	30.87736
389	31.537457
390	29.358118
391	29.891806
392	32.2665
393	31.28505
394	33.00274
395	32.303047
396	31.879969
397	26.95464
398	24.837944
399	29.573399
400	31.963123
401	32.71723
402	28.392746
403	23.062483
404	24.40911
405	26.652752
406	25.176546
407	26.702219
408	23.504414
409	12.875346
410	23.262522
411	17.46762
412	20.288364
413	16.155582
414	23.436642
415	25.095058
416	22.13505
417	16.706049
418	23.486061
419	29.769497
420	29.69011
421	25.087818
422	24.1335
423	19.884098
424	24.730839
425	18.444075
426	19.280882
427	24.678015
428	26.080343
429	24.859127
430	24.732481
431	21.604435
432	25.355474
433	25.24261
434	25.834118
435	25.449707
436	23.762707
437	22.40657
438	30.13522
439	28.496311
440	31.998112
441	31.480947
442	32.18118
443	26.869284
444	25.458298
445	29.822363
446	32.07268
447	32.08029
448	29.410858
449	24.864561
450	30.484823
451	31.599087
452	28.808432
453	24.656973
454	24.83955
455	23.555578
456	21.91075
457	25.664057
458	29.38264
459	26.504898
460	30.49223
461	30.2486
462	30.467224
463	28.242847
464	18.956951
465	21.76264
466	24.74502
467	22.215122
468	22.892548
469	26.802013
470	25.969448
471	28.020351
472	26.058605
473	25.289532
474	25.76279
475	29.060907
476	26.862234
477	30.570408
478	27.902369
479	25.835428
480	25.20755
481	23.063831
482	20.982708
483	21.55077
484	25.225506
485	26.819046
486	25.55248
487	19.265793
488	17.989658
489	14.165495
490	21.779263
491	16.01099
492	28.141256
493	25.637476
494	17.261242
495	28.28923
496	31.621906
497	31.742569
498	31.906696
499	31.669525
500	22.014835
501	24.39654
502	20.155403
503	21.724363
504	24.31138
