	z_coordinate_0	z_coordinate_1
0	1.0716945	-4.9638314
1	0.6473235	-5.1062174
2	2.947101	-3.622583
3	3.688147	-2.1381567
4	1.8860402	-4.667578
5	2.1485531	-3.9788277
6	0.07890825	-5.5181537
7	0.82372093	-4.7810025
8	3.3245058	-2.625081
9	2.0165987	-4.346803
10	0.37834036	-5.0958076
11	0.4182321	-5.849729
12	4.261739	-1.7519011
13	4.7432694	-1.3641914
14	3.7729554	-2.264268
15	2.5787165	-3.4952147
16	3.593104	-1.8526882
17	3.5780678	-2.9098494
18	2.2750263	-3.0839937
19	3.2478848	-2.968054
20	2.9006476	-4.599927
21	1.6505357	-3.504651
22	1.9680132	-4.2168546
23	0.43862507	-4.5744777
24	2.086474	-3.6870272
25	2.5981193	-3.3769863
26	2.2300858	-3.6054502
27	1.0348232	-4.831362
28	0.6717833	-4.7854133
29	2.245586	-2.910828
30	4.451001	-2.5288763
31	4.6268506	-1.946324
32	0.7505865	-4.667646
33	1.345734	-4.444527
34	2.6779664	-2.865701
35	2.9348865	-3.9527714
36	0.37829414	-5.505652
37	2.188469	-3.7718723
38	2.566006	-3.7436538
39	-1.0849324	-5.5537744
40	1.078881	-5.3662205
41	2.4414475	-3.239282
42	3.4354498	-2.6825895
43	0.29683095	-4.8244786
44	3.5969076	-2.9699662
45	1.0374583	-5.064386
46	3.3102417	-2.805891
47	1.7426891	-4.20087
48	2.6492712	0.7645753
49	1.3443427	0.51868945
50	2.3185942	1.0104957
51	-1.9262638	-1.6079603
52	0.82478786	0.16277638
53	-0.42104355	-0.9636596
54	1.1906699	0.9738551
55	-1.395057	-2.9848928
56	1.7090853	-0.10342367
57	-0.81514144	-1.3458891
58	-2.5185163	-2.8057127
59	0.14374074	-0.40258628
60	-2.2461915	-1.8837239
61	0.30066186	-0.32828754
62	-0.22539881	-1.3404268
63	1.937687	0.30852854
64	-0.10510555	-0.40876573
65	-0.44148508	-1.7356945
66	-2.6239283	-0.14526169
67	-1.2271152	-1.983756
68	0.37265733	1.2361549
69	0.13477121	-0.9588923
70	-1.2533224	0.13907428
71	0.2987414	-0.8161011
72	1.1774036	-0.40849584
73	1.6333139	0.11561505
74	1.8809736	0.33148062
75	1.5061837	1.519717
76	0.0078055114	-0.2788002
77	-0.8500376	-2.2105637
78	-1.5028334	-2.1684787
79	-1.4578832	-2.427767
80	-0.58108056	-1.4709827
81	-0.66550744	0.31554025
82	-0.16110983	-0.5057847
83	0.9667034	0.7138526
84	1.8481991	0.7262453
85	-2.0280094	-0.67325324
86	0.0012589991	-1.0249008
87	-1.2948606	-1.5309972
88	-1.0154502	-1.454686
89	0.5932199	-0.23743276
90	-0.89767396	-1.5139524
91	-1.6154758	-2.9779518
92	-0.7358309	-1.2292947
93	0.16305898	-1.0888524
94	-0.16538832	-1.0226737
95	0.71146965	-0.59822255
96	-1.2160107	-2.72167
97	-0.42112902	-1.1564881
98	0.8296912	4.371408
99	-0.7470741	1.3735851
100	2.14952	3.5254467
101	0.23410219	1.8950881
102	0.5520456	3.4468324
103	3.5774906	4.1017876
104	-1.3144889	-0.61155266
105	3.1611452	3.0204995
106	-0.9375863	2.4997578
107	2.2158322	4.847306
108	1.0550257	2.5880768
109	-0.45693037	2.065152
110	1.2331021	3.1496742
111	-1.3987556	1.5061117
112	-0.33350715	3.0980442
113	0.7629248	3.5039427
114	0.9647548	2.0493393
115	3.8476036	4.5540385
116	2.6466675	4.8561664
117	-2.7140884	0.042143054
118	1.5248646	3.928326
119	-0.50529325	1.5066983
120	3.7075822	3.9671757
121	-0.50173783	1.2723936
122	1.467082	3.3672054
123	3.0509038	2.8686783
124	-0.2425021	1.1437465
125	0.18593442	1.2924652
126	-0.14725026	2.923109
127	3.1505535	2.101808
128	2.975123	3.2394264
129	4.3593416	3.967831
130	-0.17309174	3.214184
131	0.28083342	0.2871647
132	-0.8714987	0.15424404
133	3.266743	4.3455486
134	0.94868815	3.9910274
135	0.9382634	2.0415573
136	0.08025287	1.1325731
137	1.5830377	3.177569
138	0.9708731	4.0025406
139	1.3048134	3.5507624
140	-0.7470741	1.3735851
141	1.3951514	3.9952047
142	1.2493845	4.3979793
143	0.79767203	3.4734263
144	-1.4521899	1.7586254
145	0.6925489	2.4990654
146	0.862537	3.5815928
147	0.011467874	1.2676318
148	-5.7023015	-0.2631054
149	-2.5165439	0.7574272
150	-5.435176	0.1154819
151	-5.037059	0.25087473
152	-5.245734	-0.63172376
153	-1.4468269	4.1340528
154	-3.4443722	1.1453034
155	-3.512105	1.8635651
156	-3.753616	3.264066
157	-4.740265	-0.7219562
158	-4.985629	2.262873
159	-1.0095812	4.8648977
160	-2.4393754	2.352496
161	-4.5994945	1.8312002
162	-3.3568034	3.1625595
163	-5.315234	0.82330716
164	-4.066809	2.384852
165	-1.6725414	3.2838762
166	-4.000275	1.954189
167	-5.778229	-0.108120024
168	-1.6708862	3.9572315
169	-3.3194323	1.1120473
170	-3.821535	1.1910361
171	-1.835034	3.3105185
172	-3.4947238	1.0245415
173	-3.0121071	1.0356485
174	-3.353325	2.83191
175	-3.2640445	3.0849059
176	-4.9667015	0.22504991
177	-2.4965467	3.5705402
178	-3.308051	1.918543
179	-2.6169744	0.8619863
180	-2.6406255	3.2304327
181	-2.5159621	3.9059656
182	-3.1300142	3.4243126
183	-4.4313936	0.95797044
184	-2.1347907	4.014619
185	-2.6509905	4.1698084
186	-2.6073015	3.3850946
187	-5.428738	1.2109181
188	-3.9966745	2.2338917
189	-2.3650546	3.1282609
190	-4.0145183	0.8659615
