	log_likelihood
0	8.018397
1	6.802822
2	7.9025474
3	3.936477
4	6.429521
5	7.9172072
6	6.688723
7	7.103778
8	6.8579683
9	6.9782248
10	7.254523
11	7.657347
12	6.4254
13	2.6114209
14	5.8415627
15	7.550564
16	4.557848
17	6.4602814
18	5.0076933
19	5.2267027
20	5.6315174
21	3.2662513
22	4.819874
23	5.757634
24	5.4682083
25	7.4338746
26	7.8652253
27	6.5267305
28	5.8714976
29	5.2859983
30	6.195171
31	6.2893105
32	6.8772864
33	7.8140535
34	6.732937
35	7.381996
36	6.955027
37	7.625554
38	7.908963
39	2.886725
40	7.2249336
41	2.921779
42	2.0870726
43	5.8448405
44	6.429086
45	7.2519975
46	7.0613847
47	8.074664
48	7.1111135
49	8.515668
50	8.51479
51	6.909659
52	8.096382
53	6.8444886
54	7.668161
55	6.116829
56	8.073972
57	5.689213
58	5.895753
59	8.496037
60	3.9445221
61	7.793017
62	6.3680487
63	8.477632
64	7.7673216
65	5.283755
66	6.387623
67	7.223255
68	5.731911
69	5.5993996
70	6.7417107
71	2.7523184
72	9.535494
73	9.2719
74	6.0129976
75	7.178735
76	8.930473
77	5.9583645
78	6.9938765
79	6.5609903
80	7.6264153
81	8.1057
82	6.1265473
83	4.0904927
84	9.0720625
85	6.4862046
86	7.2316666
87	7.9440103
88	6.4904814
89	7.924611
90	7.3723054
91	6.647432
92	8.14853
93	7.1288605
94	8.208861
95	8.998982
96	5.089843
97	8.374034
98	5.32156
99	7.7676253
100	6.5979347
101	6.5926733
102	5.751521
103	6.174687
104	-1.045104
105	5.9374666
106	2.8672268
107	4.8367357
108	6.1682653
109	7.873788
110	4.914967
111	5.9540696
112	1.3904228
113	6.713174
114	6.4710107
115	3.3461037
116	3.2262528
117	5.701953
118	7.1065016
119	4.7674637
120	5.8908415
121	6.5186257
122	6.594837
123	5.132722
124	7.3037157
125	8.648514
126	7.2589655
127	6.4709044
128	6.072904
129	2.6667886
130	7.6902328
131	7.226294
132	2.182139
133	4.7697215
134	6.2073736
135	6.9263086
136	8.414277
137	6.211385
138	6.3032084
139	4.0338655
140	8.064589
141	6.663816
142	7.379773
143	4.6441755
144	6.9549704
145	6.4376044
146	4.8083153
147	7.8519044
148	5.0093164
149	7.5798836
150	5.4383707
151	6.6744947
152	4.1677213
153	5.348123
154	7.095416
155	6.4663305
156	6.686714
157	-0.44162926
158	5.8565173
159	5.74669
160	5.8299203
161	7.117879
162	6.662122
163	4.5042324
164	-2.5646403
165	5.943728
166	7.268402
167	6.455529
168	6.970214
169	5.0576544
170	6.3790073
171	6.489447
172	6.61614
173	7.3587275
174	7.126404
175	7.4233446
176	2.0726466
177	6.5923514
178	6.714364
179	7.4761915
180	5.4908576
181	7.6777024
182	4.286846
183	6.6011825
184	7.5518517
185	7.5807343
186	6.0759773
187	5.963895
188	6.641094
189	5.8765297
190	7.595453
