	z_coordinate_0	z_coordinate_1
0	1.7668061	-3.4135194
1	2.634945	-3.0222
2	2.4232285	-3.533052
3	3.2811375	-0.94728315
4	3.5749893	0.33605525
5	3.0959544	-2.3240814
6	2.719483	-1.6443781
7	2.2180378	-4.5073447
8	2.0973916	-3.056654
9	3.1763089	-0.1849043
10	2.9204922	-2.0434127
11	2.0074043	-3.620903
12	2.8450983	-4.3874907
13	3.9309478	0.7690627
14	4.992065	1.4908456
15	3.6697645	0.37467873
16	2.7940226	-1.0375401
17	3.2159529	0.3252356
18	3.582266	-0.19613266
19	2.2151592	-0.94016016
20	3.1877227	-0.37001693
21	3.8556743	-1.6205057
22	1.8462949	-1.6738272
23	2.8020296	-2.0413585
24	1.6117644	-3.2019544
25	2.4211762	-1.5262984
26	2.7595663	-0.937258
27	2.5067184	-1.2546748
28	2.5252938	-3.001618
29	2.0832505	-3.2139187
30	2.0883403	-0.8328244
31	4.543091	0.34193128
32	4.6383214	0.82265395
33	1.9789789	-3.0357728
34	2.275556	-2.4215431
35	2.5306156	-0.49262547
36	3.501965	-1.1765492
37	2.5052001	-4.186017
38	2.5955958	-1.4485043
39	2.9382036	-1.207121
40	1.165581	-5.905635
41	3.0681248	-3.4611588
42	2.3379917	-0.966429
43	3.3291135	-0.1353957
44	1.7453594	-3.5661097
45	3.658846	-0.27921277
46	2.7429404	-3.1743517
47	3.2494304	-0.2911237
48	2.4853148	-2.0263085
49	0.68953544	1.0819418
50	-0.3291643	0.74786234
51	0.40314478	1.192361
52	-2.6911476	-2.7808013
53	-0.6181926	0.23382169
54	-1.4541621	-1.3244345
55	-0.51764846	1.2520897
56	-1.1661353	-4.085336
57	-0.042310357	-0.012979865
58	-1.9862194	-2.0980692
59	-2.4344668	-4.7546787
60	-1.2754278	-0.412943
61	-3.2591121	-2.9757743
62	-1.055446	-0.39821303
63	-1.1982737	-1.5708133
64	0.20662102	0.5764922
65	-1.6054285	-0.53614926
66	-0.9438739	-2.1572418
67	-3.9098048	-0.92878294
68	-1.7438829	-2.7692642
69	-1.3984544	1.4622809
70	-0.8172449	-1.1234941
71	-2.5685022	-0.12100589
72	-0.881604	-1.0591456
73	-0.2818588	-0.37572837
74	-0.020334244	0.29736173
75	0.02095747	0.43912116
76	-0.19485493	1.6663393
77	-1.3517218	-0.33329722
78	-1.068183	-2.677576
79	-2.001604	-3.1327033
80	-1.837295	-3.3303528
81	-1.2292993	-1.9428984
82	-2.142649	0.32615262
83	-1.7069819	-0.6878041
84	-0.55265665	1.2082196
85	0.067985356	0.91843885
86	-3.2378526	-1.4683973
87	-1.1899316	-1.1485089
88	-2.130102	-2.4139323
89	-1.7687216	-2.1847048
90	-0.8957066	-0.26753977
91	-1.6010332	-2.124197
92	-1.4365945	-4.224235
93	-1.6795378	-1.7863716
94	-0.9356327	-1.2111334
95	-1.2387547	-1.2633115
96	-0.579715	-0.6601583
97	-1.3067715	-3.6297674
98	-1.3672948	-1.5352818
99	-0.98739994	4.932978
100	-2.6304474	1.5135666
101	0.4838236	3.539743
102	-1.3099167	1.9630479
103	-1.0120236	3.6536212
104	1.6656489	3.889801
105	-2.9204063	-1.3224009
106	1.1667664	2.9021268
107	-1.9693348	2.197484
108	0.8052885	5.4162874
109	-0.6308856	2.9261174
110	-1.8110611	2.114153
111	-0.27437228	3.3042588
112	-3.2105603	1.6391387
113	-2.775479	3.531695
114	-0.9756227	3.9501362
115	-0.7029933	2.1634936
116	1.8715942	5.0474977
117	1.4665787	4.332547
118	-3.9892063	-0.6438812
119	-0.05196552	4.1916842
120	-2.6914284	1.6842679
121	1.8825669	3.6621532
122	-1.9167485	1.363818
123	-0.23650172	3.7064247
124	0.93172425	2.9360561
125	-1.7838223	1.277424
126	-1.4851706	1.4427458
127	-1.6477609	3.0520735
128	0.99149793	2.1245866
129	1.231359	3.0655866
130	2.186278	4.3517833
131	-1.7332528	3.3804731
132	-1.1828036	0.30174887
133	-2.317188	-0.04573922
134	1.5841858	4.181192
135	-0.77759343	4.677775
136	-0.8097005	2.189663
137	-1.6363709	1.2655457
138	-0.024665773	3.396388
139	-0.6244175	4.2940655
140	-0.19368553	3.8255167
141	-2.6304474	1.5135666
142	-0.21590248	4.250793
143	-0.42535174	4.844223
144	-0.6907619	3.733365
145	-2.6879697	1.7125729
146	-0.86446923	2.7263775
147	-0.8583803	4.2822375
148	-1.7367952	1.3719156
