	log_likelihood
0	6.5216393
1	5.93765
2	7.0986176
3	6.722909
4	7.3870993
5	5.4782267
6	7.520411
7	5.40109
8	5.731367
9	7.594611
10	6.2155495
11	4.9834456
12	2.7732954
13	4.883104
14	5.7806168
15	6.6806984
16	7.398042
17	6.6934867
18	7.1242614
19	6.6215935
20	6.441565
21	1.8799328
22	6.1549683
23	3.6872947
24	7.1702256
25	6.3397794
26	7.6852064
27	7.241179
28	6.69774
29	7.192813
30	8.135493
31	5.8461723
32	6.6292753
33	6.8006163
34	4.644367
35	5.712517
36	4.695947
37	4.760703
38	7.430911
39	6.328749
40	2.2088156
41	5.4744525
42	2.841149
43	4.392243
44	6.0010834
45	6.606125
46	6.5638742
47	7.4048843
48	6.7614083
49	6.905889
50	8.195293
51	7.717739
52	6.2658854
53	6.546509
54	5.719142
55	6.9208426
56	6.1259894
57	6.7477875
58	4.7014027
59	5.637441
60	7.302488
61	4.354091
62	5.936507
63	5.786771
64	8.935965
65	5.7210007
66	6.553685
67	5.6372595
68	7.1539316
69	3.8163266
70	6.6450233
71	6.1091847
72	4.4162364
73	9.115945
74	8.911913
75	2.4944139
76	7.984542
77	6.921824
78	7.322828
79	7.069393
80	6.5760384
81	7.935814
82	7.0216417
83	4.06401
84	2.4711442
85	7.9614654
86	4.865812
87	6.4420166
88	7.0739517
89	5.541507
90	7.238986
91	7.6009307
92	6.325748
93	6.9693885
94	7.0568414
95	7.3105955
96	8.849318
97	4.845968
98	7.3361764
99	4.484355
100	7.0841722
101	5.423381
102	6.6739454
103	4.3883085
104	3.8941822
105	0.7262937
106	3.8428738
107	2.7779622
108	5.8767962
109	7.68065
110	7.301665
111	5.6124907
112	6.8609266
113	4.732217
114	7.3327994
115	6.2007895
116	2.342728
117	-0.4018964
118	5.2936916
119	6.423873
120	4.433716
121	3.287276
122	7.101059
123	6.375525
124	5.540606
125	7.40681
126	6.6828794
127	5.5622888
128	4.6961517
129	4.3162026
130	1.882892
131	5.53942
132	6.5321364
133	3.3960762
134	4.8306212
135	6.3621254
136	6.7217684
137	6.6691256
138	6.7612724
139	5.711982
140	5.266858
141	7.2239485
142	5.282826
143	6.4173446
144	5.4277635
145	6.645417
146	7.324094
147	5.9438295
148	5.9756145
