	z_coordinate_0	z_coordinate_1
0	-0.7786584	0.11088982
1	-2.4603903	2.806638
2	0.6880292	-2.9467485
3	-1.1880416	-2.9161313
4	-3.716036	2.419591
5	-0.083387256	-1.3144829
6	-1.2553028	-3.249623
7	-0.8297568	-2.1275802
8	0.0011270083	-2.166122
9	0.42500198	-2.4909108
10	-1.9478724	-0.55607593
11	-2.4053304	0.78922814
12	-2.06565	-0.06568858
13	-0.26578012	-0.74199504
14	-1.8284231	-2.8539584
15	-0.6076202	-2.2700725
16	-0.5040028	-2.7683775
17	-2.5244136	2.1116679
18	-0.62054706	-0.33261654
19	-0.8340175	0.17587644
20	-1.8631892	2.263388
21	-0.2577756	-3.0966938
22	-0.25737718	-4.4530754
23	-3.419092	-1.3518949
24	-0.87341124	-0.12938784
25	-0.7327525	-1.1571081
26	-0.3823787	0.07452986
27	-1.7076488	-0.5105288
28	-0.9523778	-0.28152943
29	-0.48330542	-6.0462914
30	-1.2051237	-0.33616033
31	-1.4728024	-2.6071699
32	-1.9657233	-1.767385
33	-2.3348296	-2.5127761
34	-1.341399	-0.36406675
35	-1.6906636	-0.37999266
36	-1.3827844	-2.142185
37	-2.503979	1.9753544
38	-1.1260726	-0.8628291
39	0.17734745	-4.5388737
40	-3.2728038	0.042201817
41	-0.8843401	-0.18322024
42	-0.85370636	-2.3418844
43	-0.8170625	-0.04345444
44	-1.9575	1.9524186
45	-0.022676017	-0.9049217
46	-0.06292048	-2.4971287
47	-1.3326824	0.21266931
48	-3.2378736	1.1368904
49	-2.5830052	1.247669
50	-0.11610025	-1.2480333
51	-1.6174085	-1.7906497
52	-2.529522	-1.684411
53	-3.8276162	-0.14906904
54	-3.5233374	1.0868018
55	-0.072482795	-3.2493515
56	-1.3662357	-0.7877721
57	-3.325455	-1.7046959
58	-2.1977348	-2.0904176
59	-1.3748417	0.112884596
60	-1.6554607	-0.70886475
61	-0.509514	-3.9636934
62	-3.7204642	0.04089746
63	-1.5559511	1.5121555
64	-1.7338499	-2.864969
65	-0.6259966	0.03845404
66	0.15715769	-1.6092622
67	0.13050541	-1.7059724
68	-0.3935627	-4.404738
69	-0.31152585	-3.8280647
70	-1.2503905	0.3005435
71	0.08344248	-3.2871497
72	-0.5348222	-3.8355596
73	-1.0065007	-3.4821799
74	0.37228224	-2.357471
75	0.5380001	-1.5532734
76	-3.7493706	2.2762449
77	-0.84258705	-0.11040388
78	-2.4534552	-1.2394724
79	-0.8050758	-1.5960276
80	-0.5620356	-1.29773
81	-2.6146054	4.0103173
82	-2.0938146	1.5478985
83	-2.7462757	-0.17465904
84	-0.010410812	-3.2097213
85	-0.051401157	-0.57100147
86	-0.5141698	-2.4922075
87	-2.5023105	-1.3438575
88	-1.4828558	-3.677364
89	0.2794833	-4.024906
90	-0.7349191	-1.7968459
91	-2.88212	-0.08968297
92	-1.067271	-0.24165377
93	-0.22586426	-2.0258863
94	-2.871627	0.7610697
95	-1.5679605	-0.60880876
96	-0.41946164	-0.023385942
97	-2.9041834	2.9720972
98	-1.7199476	-2.5590873
99	-0.73223746	-2.4185803
100	-0.3926119	-4.0614696
101	-1.9043698	1.8811722
102	-2.8112304	2.6019561
103	-2.596063	-0.0034088194
104	-0.62407905	-1.9154491
105	-1.2058997	0.4555441
106	-1.3135018	-3.0312984
107	-2.3603902	2.8311853
108	-1.9503717	-3.0359504
109	0.82207716	-2.5883741
110	-0.5226735	-0.16732264
111	-0.9813769	-0.79001045
112	0.70864296	-1.7359796
113	0.1250017	-3.0192635
114	-3.3957458	2.7809668
115	-1.7124575	-3.408738
116	-3.2383833	1.438021
117	-2.3731456	-1.5874157
118	-0.93179727	0.6037994
119	-1.3342698	-2.312461
120	0.1881671	-2.0436149
121	-1.2636842	1.100088
122	-0.8429886	-6.706947
123	0.09032835	-0.90592355
124	-1.4319791	-0.96737975
125	-2.554889	-2.5617144
126	-3.1731873	2.5138996
127	-1.2706065	0.6615011
128	-2.2189457	0.08025165
129	-1.796217	-2.1219847
130	-2.0048811	0.6679496
131	-3.6152518	-0.16598698
132	-3.4330966	3.241233
133	-1.0331721	-4.8106723
134	-1.2112949	-4.3121777
135	-3.117649	2.220844
136	0.15662566	-3.60716
137	-2.3156269	-0.25744265
138	-2.89699	1.6288064
139	0.5734527	-3.9569232
140	0.33122	-1.6870959
141	-1.8862693	0.9851124
142	-3.101905	2.3148465
143	0.3416239	-3.4341142
144	-0.9938023	-1.2036712
145	-2.9201581	2.5311995
146	-1.5427064	-4.1123595
147	-2.0901117	0.22210407
148	-2.1309793	-1.3100395
149	-1.1977401	-0.3061733
150	-3.1682785	1.3807216
151	-3.1134062	2.8456514
152	0.2585868	-3.4277306
153	-1.6125757	-1.346755
154	-0.811968	-2.0307014
155	-0.68816763	-4.669914
156	-2.1525614	-2.1008308
157	-2.9874446	2.0982306
158	-2.7480223	0.29480803
159	0.41389194	-4.04175
160	-0.50168836	-1.1865087
161	-0.4868649	-3.551227
162	-2.72357	2.8962607
163	-0.82091016	-0.028366089
164	-2.0994809	-2.5814838
165	-2.1526558	2.0985494
166	-1.5383024	0.007404715
167	-2.2549012	-1.4561896
168	-1.4114416	-0.6632183
169	0.1950356	-3.2179735
170	-2.6091776	-0.4646498
171	-1.3438485	-0.78938276
172	-3.1447554	1.2071733
173	-1.6793412	-0.3953684
174	0.069873154	-2.4325418
175	-2.989387	1.2326365
176	0.62567395	-2.7762382
177	-2.1022553	0.25207168
178	-2.4522092	0.4171389
179	0.0912821	-3.0235734
180	-1.5158505	0.6547417
181	-2.4982164	1.7440019
182	0.7053798	-3.318114
183	0.6915758	-3.4193258
