	log_likelihood
0	4.2860737
1	3.398194
2	3.2230167
3	3.5927231
4	1.9908249
5	4.381577
6	3.4325397
7	3.9091957
8	3.9918137
9	3.8667436
10	3.9056587
11	4.2732325
12	4.063131
13	4.6271377
14	3.585296
15	3.8849235
16	3.805923
17	3.8565655
18	4.6605096
19	4.1866527
20	3.7112813
21	3.4851182
22	2.802958
23	3.6298988
24	4.768557
25	4.464367
26	3.404264
27	4.137149
28	4.3917646
29	1.3308827
30	4.4733706
31	3.6333637
32	3.9279778
33	3.3787854
34	4.438051
35	4.103385
36	3.8543499
37	3.8215537
38	4.5727305
39	2.6529782
40	3.4839
41	4.4805846
42	3.8816102
43	4.613686
44	4.2964463
45	4.4869614
46	3.880158
47	4.1701884
48	3.3029695
49	4.183447
50	4.4631963
51	4.0986075
52	3.682338
53	3.209898
54	3.0894718
55	3.528698
56	4.542801
57	3.385505
58	3.5863557
59	4.2762885
60	4.284347
61	3.2252717
62	3.2248604
63	4.7637887
64	3.4342563
65	4.6439614
66	4.166755
67	4.2929606
68	2.8603854
69	3.0884016
70	4.114314
71	3.3179104
72	3.1845613
73	3.6938272
74	3.9993076
75	3.9910362
76	2.1261563
77	4.614474
78	3.838578
79	4.400365
80	4.537993
81	2.1214688
82	4.473038
83	3.8097641
84	3.4523518
85	4.0204754
86	3.8406334
87	3.9503658
88	3.1565568
89	3.0044215
90	4.1686063
91	3.8469386
92	4.405118
93	4.065549
94	3.8630116
95	4.221444
96	4.1143064
97	2.7393003
98	3.7040277
99	3.969087
100	3.1704795
101	4.0775623
102	3.086738
103	3.934133
104	4.075977
105	4.638532
106	3.6710517
107	3.1772265
108	3.4134376
109	3.5252929
110	4.773992
111	4.621191
112	3.3398757
113	3.6826358
114	2.0769074
115	3.233004
116	3.294513
117	3.882
118	4.2418833
119	3.8590627
120	4.1060896
121	4.6297126
122	1.0018833
123	4.1833835
124	4.241175
125	3.2079403
126	2.838668
127	4.4539766
128	4.032544
129	3.8321495
130	4.3654504
131	3.4763637
132	1.6811851
133	2.584727
134	2.8164558
135	2.9862766
136	3.1932752
137	4.1575227
138	3.5119576
139	2.665177
140	4.204215
141	4.404533
142	3.0507736
143	3.312737
144	4.610872
145	3.1782699
146	3.0365431
147	4.0768585
148	3.8723843
149	4.3181834
150	3.514962
151	2.5801497
152	3.4497483
153	4.095685
154	4.0185204
155	2.8973649
156	3.514441
157	3.3242989
158	4.2415185
159	2.8266969
160	4.5729575
161	3.449292
162	3.086116
163	4.2354465
164	3.5585728
165	4.180461
166	4.186838
167	3.844569
168	4.306636
169	3.3664322
170	3.9258926
171	4.481402
172	3.3866074
173	4.0003448
174	4.067769
175	3.7255445
176	3.576962
177	4.158238
178	4.145745
179	3.6666882
180	4.4395895
181	4.157963
182	3.0960975
183	3.0233
184	3.8746223
185	3.0795262
186	3.9062228
187	4.1739464
188	4.104688
189	3.4101167
190	3.8198295
191	3.3577945
192	4.2517667
193	1.4402318
194	3.9478383
195	2.713569
196	3.752887
197	2.5569005
198	3.156601
199	4.262013
200	2.5459774
201	4.452838
202	2.9579384
203	2.995524
204	3.4191124
205	4.2107925
206	3.0953712
207	3.9584527
208	3.9425888
209	3.8575714
210	3.7901263
211	4.463797
212	4.7609
213	2.3707504
214	3.345129
215	3.6398556
216	2.682642
217	3.44724
218	3.8804107
219	2.529101
220	2.2622628
221	3.914502
222	4.5886073
223	1.3147856
224	1.6951425
225	3.8551521
226	2.6386948
227	1.9189985
228	3.5810933
229	3.9843857
230	2.5353909
231	3.3479207
232	4.031691
233	4.400897
234	4.6368866
235	3.185447
236	4.173907
237	4.0362463
238	3.728267
239	3.6555817
240	2.5195172
241	4.1302514
242	4.307733
243	2.6307023
244	3.4840026
245	4.3430047
246	4.2195168
247	4.0145035
248	3.7146919
249	4.723918
250	3.986652
251	3.074288
252	4.331897
253	1.6268318
254	4.4692817
255	3.8806815
256	4.2879696
257	4.068979
258	2.7252915
259	3.9253592
