	z_coordinate_0	z_coordinate_1
0	-4.4824853	6.9884152
1	8.3658495	-8.028396
2	3.2779481	-0.028947413
3	-5.160771	11.361871
4	0.37565324	-4.3712506
5	-8.726441	4.3970523
6	2.160379	2.133687
7	11.279941	-3.0786934
8	-0.43082076	4.521718
9	-5.1988277	10.895049
10	-4.5996366	10.205955
11	-5.060453	10.789487
12	-0.8836253	5.3278284
13	13.836259	-14.049276
14	0.5254677	-3.3994732
15	0.23564908	-2.935986
16	-8.156552	4.4411793
17	0.6994654	-3.3670156
18	-5.5535636	10.652844
19	0.62024415	-3.6062088
20	4.2264285	3.0926476
21	0.12752509	-3.0522523
22	0.5350646	-2.3855715
23	-10.048129	-7.1405277
24	-6.001271	4.1531487
25	-6.444087	0.9733774
26	12.032825	-3.1381478
27	-9.669275	-6.985112
28	-4.823005	10.45922
29	-9.114836	-7.613036
30	-8.595828	4.135235
31	0.062128693	-2.5040002
32	-0.36143297	-3.0188522
33	-1.059463	-2.8567238
34	-5.292785	9.810487
35	-2.6243002	3.4051337
36	4.4341817	12.224704
37	0.77219504	-3.7480264
38	-8.927819	4.4873977
39	1.2322652	0.17662585
40	0.9253932	-3.3866796
41	-5.295755	10.891234
42	0.054099917	-3.265946
43	10.801858	8.519909
44	-0.31687987	-2.957601
45	11.185338	9.130351
46	-0.51085365	-3.018017
47	0.31557006	-3.3494005
48	-8.692027	4.2741523
49	-8.589339	3.3217552
50	1.772924	-4.2050614
51	-0.2113998	-2.108228
52	4.0718956	3.0275764
53	0.47103536	-4.2683496
54	10.184472	-3.8209586
55	-0.428671	-2.6584957
56	0.36073196	-3.3931742
57	8.182937	0.2554386
58	0.5126832	-3.5412016
59	0.29580158	-2.8293152
60	10.95238	-1.9061687
61	-5.476397	10.255318
62	-8.200075	4.330043
63	4.237396	2.8704505
64	10.530295	8.25391
65	5.479307	6.92698
66	5.8183465	11.952859
67	0.5323355	-2.6184537
68	0.14168593	-2.9956899
69	13.580094	2.9231248
70	4.452041	2.7984512
71	-7.1936355	0.845251
72	0.69760585	-3.4833288
73	0.25692502	-3.1274385
74	-0.9787776	3.452013
75	-3.892546	8.05784
76	-9.35436	-6.8085837
77	-8.859204	-7.048097
78	0.8680635	-3.0816388
79	0.31753275	-3.356568
80	0.03313884	-2.32273
81	0.46350753	-2.8216844
82	0.92178774	-3.4805617
83	-9.495252	-6.2262516
84	-7.6502304	-5.550477
85	-0.3175252	-2.4658957
86	0.81059694	-3.0600615
87	-9.215929	-6.2748733
88	-7.6603303	0.71014935
89	-1.7261267	-3.321047
90	0.1664606	-2.4196844
91	-0.06097722	-3.1858582
92	-8.786828	4.2227154
93	-1.0857625	-2.9589963
94	5.566831	6.478265
95	2.015984	-5.2179613
96	-0.09488326	-2.3803527
97	-9.330941	-6.4435267
98	0.42758572	-2.5755439
99	7.533636	-12.05376
100	0.5282124	-2.6226892
101	-5.442991	10.246547
102	0.26740715	-3.3750753
103	-8.7526045	5.2491426
104	-0.74496806	-2.6400156
105	-7.4463477	3.0419698
106	13.975085	3.5175643
107	-0.361129	-2.3673987
108	-8.425597	3.8800845
109	1.3323929	-3.1610441
110	-4.999988	10.426217
111	-0.875444	-2.319589
112	0.46159232	-3.3309
113	-9.307664	-6.6622286
114	-4.8932986	10.401875
115	2.9420946	11.290618
116	0.48913985	-3.2416897
117	2.5400083	-4.551645
118	-0.76868397	-1.6636925
119	14.2611265	3.0072765
120	-4.8592	10.662631
121	-0.44860536	-2.173281
122	3.3619711	11.057731
123	-0.859734	5.2055154
124	5.531836	2.062076
125	-0.17926288	-2.1368604
126	-0.828466	-1.6394658
127	4.4152284	4.2613206
128	-7.73158	-5.0692115
129	10.808518	-3.003346
130	-4.896165	9.684466
131	-9.661588	-6.984215
132	0.46113035	-3.1380386
133	-8.982642	-7.917884
134	0.043751866	6.391592
135	-8.4997	4.1420197
136	4.0835395	1.0341852
137	-4.1694226	8.724485
138	-0.6412286	-1.9030032
139	-0.643956	5.212431
140	1.3774495	1.3312997
141	13.331245	3.1227493
142	6.1817307	0.0871492
143	3.4670846	-6.8510156
144	9.905217	-3.3794308
145	1.4759173	-4.37654
146	13.624541	3.2883081
147	3.1477253	11.226439
148	-9.860464	-6.7600446
149	2.461869	10.911691
150	10.7401705	7.9915514
151	4.334028	2.9933057
152	-1.6330059	-1.5745313
153	-0.6534366	-1.9043543
154	-8.633475	4.5593395
155	5.918214	-5.6380415
156	0.82261795	-2.9134407
157	0.9760297	-3.2730422
158	-0.065110445	-1.9904163
159	-9.257064	4.0865006
160	-9.890263	-6.810432
161	-0.11286533	-2.6591077
162	-5.304875	10.269638
163	-0.23781127	-2.8289204
164	-5.3797154	9.86993
165	-8.99958	4.0068636
166	-8.649549	-14.135369
167	14.603152	3.566912
168	-8.95727	-6.9388556
