	log_likelihood
0	299.74908
1	207.62314
2	309.46082
3	303.8545
4	336.7797
5	305.64105
6	307.74634
7	295.00732
8	316.82523
9	306.44302
10	309.97925
11	310.71732
12	296.53622
13	127.166306
14	342.57336
15	330.9808
16	307.87427
17	326.63593
18	317.77505
19	333.24966
20	312.06482
21	339.9684
22	318.56134
23	216.30728
24	310.64484
25	293.8565
26	274.09976
27	245.4589
28	316.1565
29	242.94754
30	305.19452
31	344.32196
32	339.9563
33	329.3498
34	310.30142
35	302.22345
36	277.5013
37	343.8931
38	279.92767
39	326.87418
40	327.6436
41	317.25928
42	321.9256
43	271.74536
44	322.91208
45	233.0356
46	334.21606
47	344.92026
48	297.3604
49	288.71503
50	317.20584
51	330.6717
52	311.3787
53	341.28995
54	306.35422
55	316.7713
56	336.15665
57	282.47812
58	317.6036
59	328.12482
60	299.406
61	300.39008
62	299.19104
63	297.3654
64	274.76755
65	221.50595
66	274.17133
67	317.55
68	334.5764
69	289.00946
70	308.53842
71	278.26816
72	299.74533
73	326.2307
74	316.15314
75	310.29288
76	256.12552
77	230.92404
78	308.97943
79	326.80347
80	315.9538
81	322.22293
82	330.47952
83	246.20853
84	278.04404
85	320.21378
86	319.2245
87	234.25186
88	250.17961
89	324.63803
90	337.72534
91	338.0069
92	319.742
93	325.28146
94	231.707
95	292.4793
96	327.2272
97	243.29062
98	329.5645
99	264.83633
100	324.25165
101	305.6848
102	316.90646
103	275.46094
104	320.8067
105	313.18646
106	290.29697
107	299.88858
108	305.03384
109	315.72144
110	303.86923
111	338.04465
112	341.3037
113	256.67328
114	298.2268
115	271.4033
116	329.5429
117	307.5719
118	299.85724
119	257.26718
120	311.60107
121	337.49295
122	272.30966
123	290.71567
124	234.24667
125	311.65765
126	325.80865
127	276.55917
128	255.53421
129	282.30078
130	303.84717
131	241.37256
132	331.29596
133	229.83952
134	293.95563
135	301.45834
136	299.2272
137	304.03925
138	340.21704
139	303.52484
140	297.08417
141	281.63657
142	299.98648
143	291.28052
144	297.1799
145	313.1851
146	290.17285
147	291.24652
148	216.92343
149	254.26306
150	295.0937
151	310.84192
152	314.1105
153	323.11688
154	300.61734
155	299.96823
156	321.31427
157	333.90326
158	325.39813
159	286.53497
160	221.32634
161	324.80356
162	309.1734
163	302.60086
164	304.9347
165	302.66257
166	180.05032
167	271.1939
168	227.96806
169	306.60483
170	288.5373
171	294.20923
172	332.64996
173	331.15152
174	317.32062
175	322.36395
176	242.6919
177	336.62167
178	221.42734
179	286.77393
180	197.03069
181	238.50732
182	228.3106
183	308.06818
184	318.79755
185	265.75998
186	278.37585
187	317.69254
188	307.4728
189	298.76166
190	272.4154
191	289.17474
192	296.97568
193	297.8627
194	302.74783
195	251.63818
196	307.00693
197	164.40526
198	306.558
199	312.76068
200	335.6858
201	280.01703
202	306.7679
203	310.16046
204	312.17264
205	287.53287
206	294.1585
207	295.8543
208	242.96396
209	285.70844
210	218.27303
211	301.7033
212	293.69794
213	289.4721
214	308.0951
215	93.76515
216	315.6286
217	111.96355
218	312.26605
219	276.5187
220	275.5389
221	320.24326
222	334.94394
223	324.19183
224	299.02563
225	320.1591
226	231.10254
227	319.31427
228	310.49274
229	321.18808
230	308.14755
231	323.96445
232	300.58423
233	311.5298
234	194.55031
235	287.8813
236	322.07294
237	307.4091
238	260.8584
239	312.1032
240	262.7459
241	263.44406
242	313.72263
243	329.1573
244	318.47705
245	323.9868
246	275.9897
247	323.18192
248	302.15155
249	305.74872
250	311.9678
251	327.1709
252	329.07928
253	298.65656
254	311.40216
255	320.96857
256	333.5515
257	268.5468
258	238.4316
259	320.54327
260	297.3202
261	343.1144
262	325.24576
263	290.20337
264	328.39374
265	285.0895
266	323.85052
267	283.0638
268	298.73914
269	293.28925
270	230.27254
271	323.805
272	240.55171
273	317.1971
274	289.89722
275	323.9366
276	289.27356
277	318.59833
278	281.4597
279	276.07538
280	301.66864
281	338.38138
282	308.64072
283	236.5509
284	330.87054
285	275.0016
286	317.1233
287	307.39835
288	311.18198
289	320.70953
290	308.49817
291	306.3406
292	198.70302
293	330.56998
294	251.39621
295	336.74677
296	337.22433
297	239.20358
298	298.1153
299	292.41928
300	289.7798
301	305.96915
302	319.29028
303	320.95477
304	329.94067
305	291.77893
306	322.3939
307	169.15744
308	325.60556
309	320.41934
310	260.95172
311	323.56314
312	282.70258
313	329.8053
314	281.17786
315	309.9654
316	257.8819
317	300.11395
318	320.0657
319	314.90668
320	323.5783
321	69.362045
322	298.76968
323	325.6658
324	328.47632
325	304.84717
326	261.38812
327	304.30316
328	307.80902
329	223.08676
330	295.49786
331	253.48015
332	312.93497
333	290.74286
334	334.0345
335	300.52216
336	323.28827
337	342.22748
338	285.61734
339	316.63058
340	316.25262
341	329.29626
342	-1.9502646
343	240.64255
344	326.29282
345	291.0694
346	320.7227
347	322.9433
348	304.05078
349	331.50983
350	283.43973
351	299.75958
352	305.16086
353	314.6997
354	313.13147
355	271.0012
356	324.52548
357	271.6966
358	313.44293
359	334.01105
360	233.00488
361	320.28754
362	274.7925
363	281.21548
364	296.52054
365	328.8022
366	267.846
367	323.6297
368	281.4608
369	242.36356
370	339.57455
371	264.12747
372	318.18085
373	285.5495
374	312.75784
375	286.1691
376	278.144
377	324.92938
378	311.04654
379	284.2159
380	288.12286
381	292.26923
382	226.45163
383	292.75528
384	301.45132
385	286.66904
386	189.73575
387	199.62833
388	278.0295
389	322.8265
390	288.4026
391	336.58112
392	309.47354
393	339.92502
394	331.0804
395	233.84126
396	307.48154
397	309.28864
398	331.0193
399	301.38998
400	324.96823
401	240.67241
402	274.8447
403	302.87677
404	316.44415
405	315.9563
406	284.8471
407	287.67984
408	248.42163
409	306.20557
410	234.65056
411	201.80826
412	317.46143
413	321.37518
414	277.9011
415	307.46
416	317.0201
417	335.50198
418	326.64908
419	321.84918
420	317.24277
421	289.6854
422	265.37262
423	326.8961
424	296.20844
425	215.01538
426	292.56274
427	270.33206
428	295.89545
429	318.23737
430	326.86154
431	314.56808
432	313.15378
433	249.28482
