	z_coordinate_0	z_coordinate_1
0	0.2371525	1.5072863
1	3.1167123	4.7975497
2	-4.0622487	-1.2028079
3	-5.0251155	2.2153392
4	2.3470361	7.755868
5	-1.4129548	0.6653347
6	-5.6140275	2.251515
7	-3.392168	1.7413328
8	-2.836976	0.39548418
9	-3.2163281	-0.46661714
10	-1.7018133	3.4665215
11	-0.025217101	4.210334
12	-1.0280354	3.6452293
13	-0.6428047	0.9151273
14	-5.342982	3.14371
15	-3.4701273	1.3848964
16	-4.3113136	1.1508462
17	1.8599674	4.7220087
18	-0.3247444	1.3600006
19	0.28316242	1.5822586
20	2.4869652	3.130782
21	-4.7789664	0.63651395
22	-7.1709113	0.010300726
23	-3.878802	5.801479
24	-0.24338241	1.7267588
25	-1.700049	1.6045985
26	0.5926093	0.8875892
27	-1.4570085	3.091034
28	-0.54536754	1.8847213
29	-9.565782	-0.7561827
30	-0.8399935	2.3118176
31	-4.7149763	2.6741922
32	-3.701302	3.4587038
33	-5.1293564	3.9256606
34	-0.9784931	2.5252059
35	-1.247512	3.061971
36	-3.878232	2.5752027
37	1.6494192	4.6297626
38	-1.5555993	2.2039359
39	-7.2738485	-0.93403625
40	-1.5690734	5.816804
41	-0.33473006	1.7544833
42	-3.7924502	1.7672162
43	-0.056607172	1.61459
44	1.8867587	3.3530977
45	-0.67954826	0.61431503
46	-3.4976466	0.43862233
47	-0.13492547	2.4519756
48	0.20807926	5.994505
49	0.5558279	4.613122
50	-1.3311583	0.71590674
51	-3.4772615	2.9362123
52	-3.950869	4.3285933
53	-2.0471106	6.843725
54	0.08577733	6.6100326
55	-4.978091	0.23637581
56	-1.6235377	2.5701954
57	-4.4153657	5.5726466
58	-4.3813763	3.7763093
59	-0.31284887	2.538712
60	-1.7247632	3.0146534
61	-6.429117	0.7416402
62	-1.7033836	6.688697
63	1.5526232	2.4985414
64	-5.299729	3.010986
65	0.28655523	1.276502
66	-1.7298673	0.2702626
67	-1.9130185	0.28665286
68	-7.123279	0.29963797
69	-6.1267543	0.44388026
70	0.06286146	2.2891808
71	-4.983401	-0.079854816
72	-6.2227216	0.84508264
73	-5.856025	1.788691
74	-2.9777594	-0.3109747
75	-1.3777562	-0.29004923
76	2.1263309	7.7409964
77	-0.18644986	1.6720572
78	-3.1908739	4.2539525
79	-2.462154	1.7145438
80	-1.7818207	1.34767
81	5.432409	5.6912456
82	1.1752771	3.6491685
83	-1.6471673	4.820124
84	-4.873207	0.13181424
85	-0.12688632	0.6158427
86	-3.8088462	1.2110658
87	-3.3905644	4.321473
88	-6.4178467	2.480236
89	-6.3532476	-0.82525194
90	-2.7410107	1.6062605
91	-1.58948	5.072057
92	-0.58632785	2.0732462
93	-2.7417226	0.7891049
94	-0.27872795	5.130452
95	-1.5050207	2.8801253
96	0.40543866	0.9753151
97	3.2457864	6.100382
98	-4.8087964	3.0271485
99	-3.8354423	1.5701245
100	-6.55299	0.48159394
101	1.8098768	3.2301438
102	2.6132417	5.650234
103	-1.2868625	4.5533237
104	-2.854794	1.431391
105	0.33262676	2.1675816
106	-5.294947	2.385033
107	3.2160385	4.533021
108	-5.697637	3.2882125
109	-3.2700524	-1.3126084
110	0.049408928	1.171838
111	-1.3371514	1.9820812
112	-1.6144873	-0.6460434
113	-4.430825	-0.066571504
