	log_likelihood
0	26.513983
1	16.776827
2	22.716663
3	23.810598
4	11.059668
5	26.027344
6	22.907145
7	25.218807
8	24.899069
9	24.408016
10	26.537582
11	23.325434
12	25.169918
13	27.034744
14	24.478935
15	24.865044
16	23.898703
17	19.755077
18	27.667892
19	27.21799
20	18.888
21	24.04547
22	19.17946
23	21.929096
24	27.077087
25	27.47543
26	22.82713
27	26.757849
28	28.216375
29	9.065773
30	27.824543
31	25.013771
32	25.801014
33	23.750269
34	27.235245
35	26.918009
36	25.740383
37	20.33024
38	27.541416
39	17.398523
40	22.880238
41	27.865377
42	24.350971
43	27.59171
44	20.47733
45	25.348957
46	24.798374
47	27.264553
48	20.17691
49	21.705782
50	26.139765
51	26.263983
52	24.68779
53	19.66428
54	18.587765
55	23.514683
56	26.94979
57	22.084538
58	25.227497
59	26.823002
60	26.475153
61	21.134434
62	20.167318
63	21.383795
64	24.762484
65	25.535988
66	25.035334
67	24.409176
68	19.565142
69	22.172338
70	27.36236
71	23.69142
72	22.73901
73	21.226189
74	24.322514
75	22.498093
76	11.731743
77	27.796335
78	25.033527
79	26.276867
80	26.423206
81	8.166748
82	22.115927
83	24.091309
84	24.47238
85	25.130535
86	24.595842
87	24.521503
88	21.98239
89	19.677616
90	25.785192
91	23.403896
92	28.379583
93	25.38386
94	22.056383
95	27.033497
96	22.873158
97	13.5394535
98	25.258698
99	23.872904
100	21.507095
101	21.31468
102	16.6659
103	24.253868
104	25.550364
105	25.872875
106	23.597935
107	16.906485
108	23.76107
109	21.425705
110	25.591791
111	27.719797
112	22.129635
113	24.060942
114	11.629296
115	23.22048
116	19.448748
117	24.647936
118	23.521814
119	25.282383
120	24.592533
121	21.974606
122	5.509553
123	24.117624
124	27.09779
125	22.570293
126	14.68395
127	26.482212
128	24.756979
129	25.421497
130	24.31232
131	20.757717
132	8.670576
133	17.765223
134	20.280516
135	16.684538
136	22.61139
137	24.342173
138	20.071657
139	19.201855
140	23.245598
141	24.257229
142	16.483036
143	22.621809
144	26.988983
145	16.16454
146	20.54331
147	24.619644
148	25.536997
149	27.579182
150	19.484043
151	13.406657
152	22.79922
153	26.85351
154	25.26378
155	18.51612
156	24.97809
157	18.294308
158	22.789963
159	19.690527
160	27.248037
161	22.856604
162	14.818823
163	27.702265
164	24.612562
165	20.083385
166	26.851154
167	24.969128
168	27.69942
169	23.926207
170	24.436487
171	27.319202
172	20.190958
173	27.112331
174	24.57121
175	21.13776
176	23.28768
177	24.605997
178	23.356619
179	24.409845
180	25.769135
181	20.83263
182	21.229961
183	20.823643
184	23.557718
185	23.248758
186	24.422892
187	22.812653
188	23.786982
189	22.751091
190	24.566666
191	21.762333
192	23.50058
193	6.679268
194	24.510399
195	15.409769
196	24.6713
197	17.23961
198	20.005007
199	27.755703
200	16.161642
201	24.1629
202	19.754454
203	17.838268
204	19.984383
205	27.19773
206	20.729067
207	24.9026
208	19.277258
209	21.424046
210	24.379192
211	27.130365
212	27.47887
213	12.123638
214	21.340036
215	22.373104
216	19.956263
217	23.455032
218	23.461374
219	18.862915
220	10.11488
221	20.212215
222	27.673758
223	5.506778
224	12.057722
225	24.272556
226	16.235073
227	14.244926
228	22.66418
229	24.967953
230	11.694834
231	21.451721
232	25.743444
233	27.416986
234	27.436468
235	20.489267
236	26.239483
237	21.482061
238	23.124493
239	22.53134
240	17.518232
241	25.512428
242	21.288368
243	16.607944
244	23.088398
245	24.638758
246	27.127253
247	27.006618
248	24.703701
249	27.291485
250	25.270947
251	20.129595
252	25.165777
253	9.746556
254	27.542185
255	23.839851
256	21.230623
257	24.965887
258	16.171124
259	25.611582
260	21.498318
261	27.348883
262	19.513744
263	20.19036
264	23.737827
265	21.336954
266	21.054527
267	25.042147
268	13.919011
269	17.526081
270	25.4501
271	20.881323
272	23.272095
273	27.535578
274	27.045416
275	26.486073
276	24.682531
277	26.454052
278	24.669294
279	24.15503
280	21.415596
281	17.777319
282	25.267553
283	22.97816
284	24.99932
285	24.57965
286	25.628368
287	21.311981
288	22.79887
289	23.230602
290	24.380316
291	25.280155
292	22.765776
293	27.652044
294	23.320936
295	19.124176
296	24.261873
297	22.795635
298	20.538296
299	18.837452
300	22.082373
301	21.123903
302	23.011694
303	27.00741
304	19.258717
305	11.287576
306	24.853592
307	26.646328
308	13.524199
309	25.655598
310	27.684153
311	26.567627
312	23.012602
313	22.55541
314	25.344004
315	23.334988
316	27.737339
317	24.966543
318	22.463205
319	22.209396
320	21.851898
321	26.651249
322	28.124573
323	24.822742
324	27.347708
325	12.887911
326	17.500147
327	27.359875
328	25.531225
329	24.73361
330	23.10394
331	25.35401
332	22.891184
333	26.149384
334	19.774307
335	22.513157
336	19.6788
337	24.949123
338	23.546818
339	23.490208
340	15.790129
341	19.723034
342	26.424652
343	20.924006
344	20.157288
345	26.170496
346	22.955563
347	24.89407
348	19.589884
349	22.57098
350	25.541
351	22.989685
352	16.320072
353	26.633106
354	27.248804
355	25.550598
356	11.388736
357	22.615795
358	27.075668
359	19.254633
360	25.652618
361	26.002972
362	25.002941
363	25.277971
364	9.596716
365	28.654749
366	23.888788
367	23.696024
368	24.430151
369	26.743729
370	21.196474
371	26.824383
372	20.521778
373	25.184921
374	20.591839
375	21.247509
376	27.458889
377	26.354305
378	21.64438
379	26.26213
380	22.316828
381	16.370565
382	13.522177
383	19.647924
384	25.133022
385	9.711493
386	26.381989
387	25.60877
388	21.015131
389	11.694312
390	22.317362
391	22.321363
392	27.33468
393	22.49172
394	23.402315
395	17.005083
396	25.145073
397	26.964727
